pokemonID,name,text,type
base4-30,Thick Skinned,"Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed.",Pokémon Power,base4-30
base4-31,Shift,"Once during your turn (before your attack), you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed.",Pokémon Power,base4-31
base4-37,Retreat Aid,"As long as Dodrio is Benched, pay Colorless less to retreat your Active Pokémon.",Pokémon Power,base4-37
base5-5,Summon Minions,"When you play Dark Dragonite from your hand, search your deck for up to 2 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.",Pokémon Power,base5-5
base5-6,Sinkhole,"Whenever your opponent's Active Pokémon retreats, your opponent flips a coin. If tails, this power does 20 damage to that Pokémon. (Don't apply Weakness and Resistance.) This power stops working while Dark Dugtrio is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-6
base5-7,Sneak Attack,"When you play Dark Golbat from your hand, you may choose 1 of your opponent's Pokémon. If you do, Dark Golbat does 10 damage to that Pokémon. Apply Weakness and Resistance.",Pokémon Power,base5-7
base5-8,Final Beam,"When Dark Gyarados is Knocked Out by an attack, flip a coin. If heads, this power does 20 damage for each Water Energy attached to Dark Gyarados to the Pokémon that Knocked Out Dark Gyarados. Apply Weakness and Resistance. This power doesn't work if Dark Gyarados is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-8
base5-12,Reel In,"When you play Dark Slowbro from your hand, choose up to 3 Basic Pokémon and/or Evolution cards from your discard pile and put them into your hand.",Pokémon Power,base5-12
base5-13,Hay Fever,"No Trainer cards can be played. This power stops working while Dark Vileplume is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-13
base5-22,Summon Minions,"When you play Dark Dragonite from your hand, search your deck for up to 2 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.",Pokémon Power,base5-22
base5-23,Sinkhole,"Whenever your opponent's Active Pokémon retreats, your opponent flips a coin. If tails, this power does 20 damage to that Pokémon. (Don't apply Weakness and Resistance.) This power stops working while Dark Dugtrio is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-23
base5-24,Sneak Attack,"When you play Dark Golbat from your hand, you may choose 1 of your opponent's Pokémon. If you do, Dark Golbat does 10 damage to that Pokémon. Apply Weakness and Resistance.",Pokémon Power,base5-24
base5-25,Final Beam,"When Dark Gyarados is Knocked Out by an attack, flip a coin. If heads, this power does 20 damage for each Water Energy attached to Dark Gyarados to the Pokémon that Knocked Out Dark Gyarados. Apply Weakness and Resistance. This power doesn't work if Dark Gyarados is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-25
base5-29,Reel In,"When you play Dark Slowbro from your hand, choose up to 3 Basic Pokémon and/or Evolution cards from your discard pile and put them into your hand.",Pokémon Power,base5-29
base5-30,Hay Fever,"No Trainer cards can be played. This power stops working while Dark Vileplume is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-30
base5-33,Evolutionary Light,"Once during your turn (before your attack), you may search your deck for an Evolution card. Show it to your opponent and put it into your hand. Shuffle your deck afterward. This power can't be used if Dark Dragonair is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-33
base5-36,Pollen Stench,"Once during your turn (before your attack), you may flip a coin. If heads, the Defending Pokémon is now Confused; if tails, your Active Pokémon is now Confused. This power can't be used if Dark Gloom is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-36
base5-39,Matter Exchange,"Once during your turn (before your attack), you may discard a card from your hand in order to draw a card. This power can't be used if Dark Kadabra is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-39
base5-41,Sticky Goo,"As long as Dark Muk is your Active Pokémon, your opponent pays ColorlessColorless more to retreat his or her Active Pokémon. This power stops working while Dark Muk is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-41
base5-43,Frenzy,"If Dark Primeape does any damage while it's Confused (even to itself), it does 30 more damage.",Pokémon Power,base5-43
base5-50,Gather Fire,"Once during your turn (before your attack), you may take 1 Fire Energy card attached to 1 of your other Pokémon and attach it to Charmander. This power can't be used if Charmander is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-50
base5-54,Long-Distance Hypnosis,"Once during your turn (before your attack), you may flip a coin. If heads, the Defending Pokémon is now Asleep; if tails, your Active Pokémon is now Asleep. This power can't be used if Drowzee is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-54
base5-66,Trickery,"Once during your turn (before your attack), you may switch 1 of your Prizes with the top card of your deck. This power can't be used if Rattata is Asleep, Confused, or Paralyzed.",Pokémon Power,base5-66
base6-1,Damage Swap,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is affected by a Special Condition.",Pokémon Power,base6-1
base6-3,Energy Burn,"As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is affected by a Special Condition.",Pokémon Power,base6-3
base6-5,Summon Minions,"When you play Dark Dragonite from your hand, search your deck for up to 2 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.",Pokémon Power,base6-5
base6-8,Reel In,"When you play Dark Slowbro from your hand, choose up to 3 Basic Pokémon and/or Evolution cards from your discard pile and put them into your hand.",Pokémon Power,base6-8
base6-11,Curse,"Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is affected by a Special Condition.",Pokémon Power,base6-11
base6-15,Strikes Back,"Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is already affected by a Special Condition when your opponent attacks.",Pokémon Power,base6-15
base6-16,Toxic Gas,Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is affected by a Special Condition.,Pokémon Power,base6-16
base6-18,Energy Trans,"As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is affected by a Special Condition.",Pokémon Power,base6-18
base6-38,Evolutionary Light,"Once during your turn (before your attack), you may search your deck for an Evolution card. Show it to your opponent and put it into your hand. Shuffle your deck afterward. This power can't be used if Dark Dragonair is affected by a Special Condition.",Pokémon Power,base6-38
base6-41,Retreat Aid,"As long as Dodrio is Benched, pay Colorless less to retreat your Active Pokémon.",Pokémon Power,base6-41
base6-46,Transparency,"Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is affected by a Special Condition.",Pokémon Power,base6-46
base6-48,Kabuto Armor,"Whenever an attack (even your own) does damage to Kabuto (after applying Weakness and Resistance), that attack does only half the damage to Kabuto (rounded down to the nearest 10). (Any other effects of attacks still happen.) This power stops working while Kabuto is affected by a Special Condition.",Pokémon Power,base6-48
base6-57,Clairvoyance,Your opponent plays with his or her hand face up. This power stops working while Omanyte is affected by a Special Condition.,Pokémon Power,base6-57
base6-64,Thick Skinned,"Snorlax can't become Asleep, Confused, Paralyzed, Poisoned, or Burned. This power stops working while Snorlax is affected by a Special Condition.",Pokémon Power,base6-64
base6-73,Long-Distance Hypnosis,"Once during your turn (before your attack), you may flip a coin. If heads, the Defending Pokémon is now Asleep; if tails, your Active Pokémon is now Asleep. The power can't be used if Drowzee is affected by a Special Condition.",Pokémon Power,base6-73
base6-96,Cowardice,"At any time during your turn (before your attack), you may return Tentacool to your hand. (Discard all cards attached to Tentacool.) This power can't be used the turn you put Tentacool into play or if Tentacool is affected by a Special Condition.",Pokémon Power,base6-96
basep-5,Special Delivery,"Once during your turn (before your attack), you may draw a card. If you do, choose a card from your hand and put it on top of your deck. This power can't be used if Dragonite is Asleep, Confused, or Paralyzed.",Pokémon Power,basep-5
basep-11,Chain Reaction,"This power can only be used when a Pokémon evolves. Search your deck for a card that evolves from Eevee and attach it to Eevee. This counts as evolving Eevee. Shuffle your deck afterward. This power can't be used if Eevee is Asleep, Confused, or Paralyzed.",Pokémon Power,basep-11
basep-13,Solar Power,"Once during your turn (before your attack), you may use this power. Your Active Pokémon and the Defending Pokémon are no longer Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.",Pokémon Power,basep-13
basep-34,Bolt,"Whenever your opponent's attack damages Entei, unless that attack Knocks Out Entei, flip a coin. If heads, shuffle Entei and all cards attached to it into your deck. This power can't be used if Entei is already Asleep, Confused, or Paralyzed when it is damaged.",Pokémon Power,basep-34
basep-38,[Join],"Once during your turn (before your attack), if you have Unown [J], Unown [O], Unown [I], and Unown Dragon on your Bench, you may search your deck for a Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.",Pokémon Power,basep-38
basep-47,Neutral Shield,"Prevent all effects of attacks, including damage, done to Mew by Evolved Pokémon. You can't use this power if Mew is Asleep, Confused, or Paralyzed.",Pokémon Power,basep-47
basep-48,Aurora Veil,"As long as Articuno is your Active Pokémon, your Benched Pokémon do not take damage from and are not affected by attacks. This power cannot be used if Articuno is affected by a Special Condition.",Pokémon Power,basep-48
basep-49,Guard,"As long as Snorlax is your Active Pokémon, the Defending Pokémon can't Retreat. This power stops working when Snorlax is affected by a Special Condition.",Pokémon Power,basep-49
basep-53,Pure Body,"To attach a Water Energy card from your hand to Suicune, you must discard an Energy card attached to Suicune. (Attach the Water Energy, and then discard an Energy card from Suicune.)",Poké-Body,basep-53
bp-6,Vine Pull,"Once during your turn when Dark Ivysaur retreats, choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon.",Poké-Body,bp-6
bw1-6,Royal Heal,"At any time between turns, heal 10 damage from each of your Pokémon.",Ability,bw1-6
bw1-20,Inferno Fandango,"As often as you like during your turn (before your attack), you may attach a Fire Energy card from your hand to 1 of your Pokémon.",Ability,bw1-20
bw1-32,Shell Armor,Any damage done to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).,Ability,bw1-32
bw1-57,Damage Swap,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another of your Pokémon.",Ability,bw1-57
bw1-76,Shift Gear,"As often as you like during your turn (before your attack), you may move a Metal Energy attached to 1 of your Pokémon to another of your Pokémon.",Ability,bw1-76
bw10-2,Tool Reversal,"As often as you like during your turn (before your attack), you may put a Pokémon Tool card attached to 1 of your Pokémon into your hand.",Ability,bw10-2
bw10-3,Prehistoric Call,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon on the bottom of your deck.",Ability,bw10-3
bw10-9,Verdant Wind,Each of your Pokémon that has any Grass Energy attached to it can't be affected by any Special Conditions. (Remove any Special Conditions affecting those Pokémon.),Ability,bw10-9
bw10-11,Red Signal,"When you attach a Plasma Energy from your hand to this Pokémon, you may switch 1 of your opponent's Benched Pokémon with his or her Active Pokémon.",Ability,bw10-11
bw10-16,Deluge,"As often as you like during your turn (before your attack), you may attach a Water Energy card from your hand to 1 of your Pokémon.",Ability,bw10-16
bw10-20,Safeguard,"Prevent all effects of attacks, including damage, done to this Pokémon by Pokémon-EX.",Ability,bw10-20
bw10-23,Cursed Glare,"As long as this Pokémon is your Active Pokémon, your opponent can't attach any Special Energy cards from his or her hand to his or her Pokémon.",Ability,bw10-23
bw10-27,Prehistoric Call,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon on the bottom of your deck.",Ability,bw10-27
bw10-35,Drifting Balloon,This Pokémon's attacks cost Colorless less for each of your opponent's Team Plasma Pokémon in play.,Ability,bw10-35
bw10-37,Mental Shroud,"If you have Uxie and Azelf in play, each of your Pokémon has no Weakness.",Ability,bw10-37
bw10-41,Toolbox,"This Pokémon may have up to 4 Pokémon Tool cards attached to it. (If this Pokémon loses this Ability, discard Pokémon Tool cards attached to this Pokémon until only 1 Pokémon Tool card remains.)",Ability,bw10-41
bw10-49,Badge of Discipline,The damage of each of your Fighting Pokémon's attacks isn't affected by Resistance.,Ability,bw10-49
bw10-53,Prehistoric Call,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon on the bottom of your deck.",Ability,bw10-53
bw10-60,Stellar Guidance,"When you play this Pokémon from your hand onto your Bench, you may search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.",Ability,bw10-60
bw10-64,Breakwing,"When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may discard all Pokémon Tool cards attached to each of your opponent's Pokémon.",Ability,bw10-64
bw10-74,Plasma Transfer,"As often as you like during your turn (before your attack), you may move a Plasma Energy attached to 1 of your Pokémon to another of your Pokémon.",Ability,bw10-74
bw10-96,Verdant Wind,Each of your Pokémon that has any Grass Energy attached to it can't be affected by any Special Conditions. (Remove any Special Conditions affecting those Pokémon.),Ability,bw10-96
bw10-97,Red Signal,"When you attach a Plasma Energy from your hand to this Pokémon, you may switch 1 of your opponent's Benched Pokémon with his or her Active Pokémon.",Ability,bw10-97
bw10-98,Stellar Guidance,"When you play this Pokémon from your hand onto your Bench, you may search your deck for a Supporter card, reveal it, and put it into your hand. Shuffle your deck afterward.",Ability,bw10-98
bw10-102,Propagation,"Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon into your hand.",Ability,bw10-102
bw10-104,Sinister Hand,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another of your opponent's Pokémon.",Ability,bw10-104
bw11-8,Royal Heal,"At any time between turns, heal 10 damage from each of your Pokémon.",Ability,bw11-8
bw11-12,Leaf Tailor,Each of your Pokémon that has any Energy attached to it has no Weakness.,Ability,bw11-12
bw11-23,Victory Star,"Once during your turn, after you flip any coins for an attack, you may ignore all effects of those coin flips and being flipping those coins again. You can't use more than 1 Victory Star Ability each turn.",Ability,bw11-23
bw11-27,Inferno Fandango,"As often as you like during your turn (before your attack), you may attach a Fire Energy card from your hand to 1 of your Pokémon.",Ability,bw11-27
bw11-39,Shell Armor,Any damage done to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).,Ability,bw11-39
bw11-45,Rush In,"Once during your turn (before your attack), if this Pokémon is on your Bench, you may switch this Pokémon with your Active Pokémon.",Ability,bw11-45
bw11-66,Safeguard,"Prevent all effects of attacks, including damage, done to this Pokémon by Pokémon-EX.",Ability,bw11-66
bw11-68,Garbotoxin,"If this Pokémon has a Pokémon Tool card attached to it, each Pokémon in play, in each player's hand, and in each player's discard pile has no Abilities (except for Garbotoxin).",Ability,bw11-68
bw11-72,Magic Room,"As long as this Pokémon is your Active Pokémon, your opponent can't play any Item cards from his or her hand.",Ability,bw11-72
bw11-80,Reflexive Retaliation,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",Ability,bw11-80
bw11-87,Sealing Scream,Each player can't play any ACE SPEC cards from his or her hand.,Ability,bw11-87
bw11-88,Dark Cloak,Each of your Pokémon that has any Darkness Energy attached to it has no Retreat Cost.,Ability,bw11-88
bw11-99,Dark Trance,"As often as you like during your turn (before your attack), you may move a Darkness Energy attached to 1 of your Pokémon to another of your Pokémon.",Ability,bw11-99
bw11-102,Overflow,"If your opponent's Pokémon is Knocked Out by damage from an attack of this Pokémon, take 1 more Prize card.",Ability,bw11-102
bw11-105,Smooth Coat,"If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.",Ability,bw11-105
bw11-106,Rough Skin,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",Ability,bw11-106
bw11-RC3,Royal Garden,"If this Pokémon has any Grass Energy attached to it, this Pokémon has no Retreat Cost.",Ability,bw11-RC3
bw11-RC19,Smooth Coat,"If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.",Ability,bw11-RC19
bw11-RC24,Versatile,This Pokémon can use the attacks of any Pokémon in play (both yours and your opponent's). (You still need the necessary Energy to use each attack.),Ability,bw11-RC24
bw2-47,Magic Room,"As long as this Pokémon is your Active Pokémon, your opponent can't play any Item cards from his or her hand.",Ability,bw2-47
bw2-62,Black Eyes,"Once during your turn (before your attack), if this Pokémon is your Active Pokémon, you may flip a coin. If heads, discard an Energy attached to your opponent's Active Pokémon.",Ability,bw2-62
bw3-3,Leaf Tailor,Each of your Pokémon that has any Energy attached to it has no Weakness.,Ability,bw3-3
bw3-14,Victory Star,"Once during your turn, after you flip any coins for an attack, you may ignore all effects of those coin flips and being flipping those coins again. You can't use more than 1 Victory Star Ability each turn.",Ability,bw3-14
bw3-26,Solid Rock,"If any damage is done to this Pokémon by attacks, flip a coin. If heads, reduce that damage by 50 (after applying Weakness and Resistance).",Ability,bw3-26
bw3-31,Cursed Body,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Confused.",Ability,bw3-31
bw3-40,Dynamotor,"Once during your turn (before your attack), you may attach a Lightning Energy card from your discard pile to 1 of your Benched Pokémon.",Ability,bw3-40
bw3-47,Durable Body,"If this Pokémon would be Knocked Out by damage from an attack, flip a coin. If heads, this Pokémon is not Knocked Out and its remaining HP becomes 10 instead.",Ability,bw3-47
bw3-60,Cursed Shadow,"Once during your turn (before your attack), if this Pokémon is your Active Pokémon, you may put 3 damage counters on your opponent's Pokémon in any way you like.",Ability,bw3-60
bw3-64,Craftsmanship,This Pokémon gets +20 HP for each Fighting Energy attached to it.,Ability,bw3-64
bw3-67,Ancient Power,Each play can't play any Pokémon from his or her hand to evolve his or her Pokémon.,Ability,bw3-67
bw3-79,Dark Aura,All Energy attached to this Pokémon are Darkness Energy instead of their usual type.,Ability,bw3-79
bw3-89,Rough Skin,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",Ability,bw3-89
bw3-98,Victory Star,"Once during your turn, after you flip any coins for an attack, you may ignore all effects of those coin flips and being flipping those coins again. You can't use more than 1 Victory Star Ability each turn.",Ability,bw3-98
bw4-9,Sporprise,"When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. If you do, your opponent's Active Pokémon is now Confused and Poisoned.",Ability,bw4-9
bw4-12,Blazing Mane,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), the Attacking Pokémon is now Burned.",Ability,bw4-12
bw4-33,Slippery Soles,"Once during your turn (before your attack), you may switch your Active Pokémon with 1 of your Benched Pokémon. If you do, your opponent switches his or her Active Pokémon with 1 of his or her Benched Pokémon.",Ability,bw4-33
bw4-57,Psychic Mirage,Each basic Psychic Energy attached to your Psychic Pokémon provides PsychicPsychic Energy. You can't apply more than 1 Psychic Mirage Ability at a time.,Ability,bw4-57
bw4-59,Forewarn,"Once during your turn (before your attack), you may look at the top 2 cards of your deck, choose 1 of them, and put it into your hand. Put the other card back on top of your deck.",Ability,bw4-59
bw4-64,Reflexive Retaliation,"If this Pokémon is your Active Pokémon and is damaged by an opponent's attack (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon.",Ability,bw4-64
bw4-72,Giant Fan,"When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may flip a coin. If heads, choose 1 of your opponent's Pokémon. Your opponent shuffles that Pokémon and all cards attached to it into his or her deck.",Ability,bw4-72
bw4-76,Heal Block,Damage can't be healed from any Pokémon (both yours and your opponent's). (Damage counters can still be moved.),Ability,bw4-76
bw4-85,Smooth Coat,"If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.",Ability,bw4-85
bw4-100,Inferno Fandango,"As often as you like during your turn (before your attack), you may attach a Fire Energy card from your hand to 1 of your Pokémon.",Ability,bw4-100
