id,name,nationalPokedexNumbers,level,hp,type1,type2,evolvesFrom,weaknessColor,weaknessModifier,ability_name,ability_text,ability_type
base1-32,Kadabra,[64],38,60,Psychic,,Abra,Psychic,×2,,,
base1-33,Kakuna,[14],23,80,Grass,,Weedle,Fire,×2,,,
base1-34,Machoke,[67],40,80,Fighting,,Machop,Psychic,×2,,,
base1-35,Magikarp,[129],8,30,Water,,,Lightning,×2,,,
base1-36,Magmar,[126],24,50,Fire,,,Water,×2,,,
base1-37,Nidorino,[33],25,60,Grass,,Nidoran ♂,Psychic,×2,,,
base1-38,Poliwhirl,[61],28,60,Water,,Poliwag,Grass,×2,,,
base1-39,Porygon,[137],12,30,Colorless,,,Fighting,×2,,,
base1-40,Raticate,[20],41,60,Colorless,,Rattata,Fighting,×2,,,
base1-41,Seel,[86],12,60,Water,,,Lightning,×2,,,
base1-42,Wartortle,[8],22,70,Water,,Squirtle,Lightning,×2,,,
base1-43,Abra,[63],10,30,Psychic,,,Psychic,×2,,,
base1-44,Bulbasaur,[1],13,40,Grass,,,Fire,×2,,,
base1-45,Caterpie,[10],13,40,Grass,,,Fire,×2,,,
base1-46,Charmander,[4],10,50,Fire,,,Water,×2,,,
base1-47,Diglett,[50],8,30,Fighting,,,Grass,×2,,,
base1-48,Doduo,[84],10,50,Colorless,,,Lightning,×2,,,
base1-49,Drowzee,[96],10,50,Psychic,,,Psychic,×2,,,
base1-50,Gastly,[92],8,30,Psychic,,,,,,,
base1-51,Koffing,[109],13,50,Grass,,,Psychic,×2,,,
base1-52,Machop,[66],20,50,Fighting,,,Psychic,×2,,,
base1-53,Magnemite,[81],13,40,Lightning,,,Fighting,×2,,,
base1-54,Metapod,[11],21,70,Grass,,Caterpie,Fire,×2,,,
base1-55,Nidoran ♂,[32],20,40,Grass,,,Psychic,×2,,,
base1-56,Onix,[95],12,90,Fighting,,,Grass,×2,,,
base1-57,Pidgey,[16],8,40,Colorless,,,Lightning,×2,,,
base1-58,Pikachu,[25],12,40,Lightning,,,Fighting,×2,,,
base1-59,Poliwag,[60],13,40,Water,,,Grass,×2,,,
base1-60,Ponyta,[77],10,40,Fire,,,Water,×2,,,
base1-61,Rattata,[19],9,30,Colorless,,,Fighting,×2,,,
base1-62,Sandshrew,[27],12,40,Fighting,,,Grass,×2,,,
base1-63,Squirtle,[7],8,40,Water,,,Lightning,×2,,,
base1-64,Starmie,[121],28,60,Water,,Staryu,Lightning,×2,,,
base1-65,Staryu,[120],15,40,Water,,,Lightning,×2,,,
base1-66,Tangela,[114],8,50,Grass,,,Fire,×2,,,
base1-67,Voltorb,[100],10,40,Lightning,,,Fighting,×2,,,
base1-68,Vulpix,[37],11,50,Fire,,,Water,×2,,,
base1-69,Weedle,[13],12,40,Grass,,,Fire,×2,,,
base2-1,Clefable,[36],34,70,Colorless,,Clefairy,Fighting,×2,,,
base2-2,Electrode,[101],42,90,Lightning,,Voltorb,Fighting,×2,,,
base2-3,Flareon,[136],28,70,Fire,,Eevee,Water,×2,,,
base2-4,Jolteon,[135],29,70,Lightning,,Eevee,Fighting,×2,,,
base2-5,Kangaskhan,[115],40,90,Colorless,,,Fighting,×2,,,
base2-6,Mr. Mime,[122],28,40,Psychic,,Mime Jr.,Psychic,×2,Invisible Wall,"Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed.",Pokémon Power
base2-7,Nidoqueen,[31],43,90,Grass,,Nidorina,Psychic,×2,,,
base2-8,Pidgeot,[18],40,80,Colorless,,Pidgeotto,Lightning,×2,,,
base2-9,Pinsir,[127],24,60,Grass,,,Fire,×2,,,
base2-10,Scyther,[123],25,70,Grass,,,Fire,×2,,,
base2-11,Snorlax,[143],20,90,Colorless,,Munchlax,Fighting,×2,Thick Skinned,"Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed.",Pokémon Power
base2-12,Vaporeon,[134],42,80,Water,,Eevee,Lightning,×2,,,
base2-13,Venomoth,[49],28,70,Grass,,Venonat,Fire,×2,Shift,"Once during your turn (before your attack), you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed.",Pokémon Power
base2-14,Victreebel,[71],42,80,Grass,,Weepinbell,Fire,×2,,,
base2-15,Vileplume,[45],35,80,Grass,,Gloom,Fire,×2,Heal,"Once during your turn (before your attack), you may flip a coin. If heads, remove 1 damage counter from 1 of your Pokémon. This power can't be used if Vileplume is Asleep, Confused, or Paralyzed.",Pokémon Power
base2-16,Wigglytuff,[40],36,80,Colorless,,Jigglypuff,Fighting,×2,,,
base2-17,Clefable,[36],34,70,Colorless,,Clefairy,Fighting,×2,,,
base2-18,Electrode,[101],42,90,Lightning,,Voltorb,Fighting,×2,,,
base2-19,Flareon,[136],28,70,Fire,,Eevee,Water,×2,,,
base2-20,Jolteon,[135],29,70,Lightning,,Eevee,Fighting,×2,,,
base2-21,Kangaskhan,[115],40,90,Colorless,,,Fighting,×2,,,
base2-22,Mr. Mime,[122],28,40,Psychic,,Mime Jr.,Psychic,×2,Invisible Wall,"Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed.",Pokémon Power
base2-23,Nidoqueen,[31],43,90,Grass,,Nidorina,Psychic,×2,,,
base2-24,Pidgeot,[18],40,80,Colorless,,Pidgeotto,Lightning,×2,,,
base2-25,Pinsir,[127],24,60,Grass,,,Fire,×2,,,
base2-26,Scyther,[123],25,70,Grass,,,Fire,×2,,,
base2-27,Snorlax,[143],20,90,Colorless,,Munchlax,Fighting,×2,Thick Skinned,"Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed.",Pokémon Power
base2-28,Vaporeon,[134],42,80,Water,,Eevee,Lightning,×2,,,
base2-29,Venomoth,[49],28,70,Grass,,Venonat,Fire,×2,Shift,"Once during your turn (before your attack), you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed.",Pokémon Power
base2-30,Victreebel,[71],42,80,Grass,,Weepinbell,Fire,×2,,,
base2-31,Vileplume,[45],35,80,Grass,,Gloom,Fire,×2,Heal,"Once during your turn (before your attack), you may flip a coin. If heads, remove 1 damage counter from 1 of your Pokémon. This power can't be used if Vileplume is Asleep, Confused, or Paralyzed.",Pokémon Power
base2-32,Wigglytuff,[40],36,80,Colorless,,Jigglypuff,Fighting,×2,,,
base2-33,Butterfree,[12],28,70,Grass,,Metapod,Fire,×2,,,
base2-34,Dodrio,[85],28,70,Colorless,,Doduo,Lightning,×2,Retreat Aid,"As long as Dodrio is Benched, pay Colorless less to retreat your Active Pokémon.",Pokémon Power
base2-35,Exeggutor,[103],35,80,Grass,,Exeggcute,Fire,×2,,,
base2-36,Fearow,[22],27,70,Colorless,,Spearow,Lightning,×2,,,
base2-37,Gloom,[44],35,60,Grass,,Oddish,Fire,×2,,,
base2-38,Lickitung,[108],10,90,Colorless,,,Fighting,×2,,,
base2-39,Marowak,[105],26,60,Fighting,,Cubone,Grass,×2,,,
base2-40,Nidorina,[30],24,70,Grass,,Nidoran ♀,Psychic,×2,,,
base2-41,Parasect,[47],28,60,Grass,,Paras,Fire,×2,,,
base2-42,Persian,[53],25,70,Colorless,,Meowth,Fighting,×2,,,
base2-43,Primeape,[57],45,70,Fighting,,Mankey,Psychic,×2,,,
base2-44,Rapidash,[78],33,70,Fire,,Ponyta,Water,×2,,,
base2-45,Rhydon,[112],48,100,Fighting,,Rhyhorn,Grass,×2,,,
base2-46,Seaking,[119],28,70,Water,,Goldeen,Lightning,×2,,,
base2-47,Tauros,[128],24,60,Colorless,,,Fighting,×2,,,
base2-48,Weepinbell,[70],28,70,Grass,,Bellsprout,Fire,×2,,,
base2-49,Bellsprout,[69],11,40,Grass,,,Fire,×2,,,
base2-50,Cubone,[104],13,40,Fighting,,,Grass,×2,,,
base2-51,Eevee,[133],12,50,Colorless,,,Fighting,×2,,,
base2-52,Exeggcute,[102],14,50,Grass,,,Fire,×2,,,
base2-53,Goldeen,[118],12,40,Water,,,Lightning,×2,,,
base2-54,Jigglypuff,[39],14,60,Colorless,,,Fighting,×2,,,
base2-55,Mankey,[56],7,30,Fighting,,,Psychic,×2,Peek,"Once during your turn (before your attack), you may look at one of the following: the top card of either player's deck, a random card from your opponent's hand, or one of either player's Prizes. This power can't be used if Mankey is Asleep, Confused, or Paralyzed.",Pokémon Power
base2-56,Meowth,[52],15,50,Colorless,,,Fighting,×2,,,
base2-57,Nidoran ♀,[29],13,60,Grass,,,Psychic,×2,,,
base2-58,Oddish,[43],8,50,Grass,,,Fire,×2,,,
base2-59,Paras,[46],8,40,Grass,,,Fire,×2,,,
base2-60,Pikachu,[25],14,50,Lightning,,Pichu,Fighting,×2,,,
base2-61,Rhyhorn,[111],18,70,Fighting,,,Grass,×2,,,
base2-62,Spearow,[21],13,50,Colorless,,,Lightning,×2,,,
base2-63,Venonat,[48],12,40,Grass,,,Fire,×2,,,
base3-1,Aerodactyl,[142],28,60,Fighting,,Mysterious Fossil,Grass,×2,Prehistoric Power,"No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-2,Articuno,[144],35,70,Water,,,,,,,
base3-3,Ditto,[132],20,50,Colorless,,,Fighting,×2,Transform,"If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-4,Dragonite,[149],45,100,Colorless,,Dragonair,,,Step In,"Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon.",Pokémon Power
base3-5,Gengar,[94],38,80,Psychic,,Haunter,,,Curse,"Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-6,Haunter,[93],17,50,Psychic,,Gastly,,,Transparency,"Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-7,Hitmonlee,[106],30,60,Fighting,,,Psychic,×2,,,
base3-8,Hypno,[97],36,90,Psychic,,Drowzee,Psychic,×2,,,
base3-9,Kabutops,[141],30,60,Fighting,,Kabuto,Grass,×2,,,
base3-10,Lapras,[131],12,80,Water,,,Lightning,×2,,,
base3-11,Magneton,[82],35,80,Lightning,,Magnemite,Fighting,×2,,,
base3-12,Moltres,[146],35,70,Fire,,,,,,,
base3-13,Muk,[89],34,70,Grass,,Grimer,Psychic,×2,Toxic Gas,"Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-14,Raichu,[26],45,90,Lightning,,Pikachu,Fighting,×2,,,
base3-15,Zapdos,[145],40,80,Lightning,,,,,,,
base3-16,Aerodactyl,[142],28,60,Fighting,,Mysterious Fossil,Grass,×2,Prehistoric Power,"No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-17,Articuno,[144],35,70,Water,,,,,,,
base3-18,Ditto,[132],20,50,Colorless,,,Fighting,×2,Transform,"If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-19,Dragonite,[149],45,100,Colorless,,Dragonair,,,Step In,"Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon.",Pokémon Power
base3-20,Gengar,[94],38,80,Psychic,,Haunter,,,Curse,"Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-21,Haunter,[93],17,50,Psychic,,Gastly,,,Transparency,"Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-22,Hitmonlee,[106],30,60,Fighting,,,Psychic,×2,,,
base3-23,Hypno,[97],36,90,Psychic,,Drowzee,Psychic,×2,,,
base3-24,Kabutops,[141],30,60,Fighting,,Kabuto,Grass,×2,,,
base3-25,Lapras,[131],31,80,Water,,,Lightning,×2,,,
base3-26,Magneton,[82],35,80,Lightning,,Magnemite,Fighting,×2,,,
base3-27,Moltres,[146],35,70,Fire,,,,,,,
base3-28,Muk,[89],34,70,Grass,,Grimer,Psychic,×2,Toxic Gas,"Ignore all Pokémon Powers other than Toxic Gases. This power stops working while Muk is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-29,Raichu,[26],45,90,Lightning,,Pikachu,Fighting,×2,,,
base3-30,Zapdos,[145],40,80,Lightning,,,,,,,
base3-31,Arbok,[24],27,60,Grass,,Ekans,Psychic,×2,,,
base3-32,Cloyster,[91],25,50,Water,,Shellder,Lightning,×2,,,
base3-33,Gastly,[92],17,50,Psychic,,,,,,,
base3-34,Golbat,[42],29,60,Grass,,Zubat,Psychic,×2,,,
base3-35,Golduck,[55],27,70,Water,,Psyduck,Lightning,×2,,,
base3-36,Golem,[76],36,80,Fighting,,Graveler,Grass,×2,,,
base3-37,Graveler,[75],29,60,Fighting,,Geodude,Grass,×2,,,
base3-38,Kingler,[99],27,60,Water,,Krabby,Lightning,×2,,,
base3-39,Magmar,[126],31,70,Fire,,Magby,Water,×2,,,
base3-40,Omastar,[139],32,70,Water,,Omanyte,Grass,×2,,,
base3-41,Sandslash,[28],33,70,Fighting,,Sandshrew,Grass,×2,,,
base3-42,Seadra,[117],23,60,Water,,Horsea,Lightning,×2,,,
base3-43,Slowbro,[80],26,60,Psychic,,Slowpoke,Psychic,×2,Strange Behavior,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to Slowbro as long as you don't Knock Out Slowbro. This power can't be used if Slowbro is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-44,Tentacruel,[73],21,60,Water,,Tentacool,Lightning,×2,,,
base3-45,Weezing,[110],27,60,Grass,,Koffing,Psychic,×2,,,
base3-46,Ekans,[23],10,40,Grass,,,Psychic,×2,,,
base3-47,Geodude,[74],16,50,Fighting,,,Grass,×2,,,
base3-48,Grimer,[88],17,50,Grass,,,Psychic,×2,,,
base3-49,Horsea,[116],19,40,Water,,,Lightning,×2,,,
base3-50,Kabuto,[140],9,30,Fighting,,Mysterious Fossil,Grass,×2,Kabuto Armor,"Whenever an attack (even your own) does damage to Kabuto (after applying Weakness and Resistance), that attack does half the damage to Kabuto (rounded down to the nearest 10). (Any other effects of attacks still happen.) This power stops working while Kabuto is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-51,Krabby,[98],20,50,Water,,,Lightning,×2,,,
base3-52,Omanyte,[138],19,40,Water,,Mysterious Fossil,Grass,×2,Clairvoyance,"Your opponent plays with his or her hand face up. This power stops working while Omanyte is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-53,Psyduck,[54],15,50,Water,,,Lightning,×2,,,
base3-54,Shellder,[90],8,30,Water,,,Lightning,×2,,,
base3-55,Slowpoke,[79],18,50,Psychic,,,Psychic,×2,,,
base3-56,Tentacool,[72],10,30,Water,,,Lightning,×2,Cowardice,"At any time during your turn (before your attack), you may return Tentacool to your hand. (Discard all cards attached to Tentacool.) This power can't be used the turn you put Tentacool into play or if Tentacool is Asleep, Confused, or Paralyzed.",Pokémon Power
base3-57,Zubat,[41],10,40,Grass,,,Psychic,×2,,,
base4-1,Alakazam,[65],42,80,Psychic,,Kadabra,Psychic,×2,Damage Swap,"As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.",Pokémon Power
base4-2,Blastoise,[9],52,100,Water,,Wartortle,Lightning,×2,Rain Dance,"As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.",Pokémon Power
base4-3,Chansey,[113],55,120,Colorless,,,Fighting,×2,,,
base4-4,Charizard,[6],76,120,Fire,,Charmeleon,Water,×2,Energy Burn,"As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.",Pokémon Power
base4-5,Clefable,[36],34,70,Colorless,,Clefairy,Fighting,×2,,,
base4-6,Clefairy,[35],14,40,Colorless,,,Fighting,×2,,,
base4-7,Gyarados,[130],41,100,Water,,Magikarp,Grass,×2,,,
base4-8,Hitmonchan,[107],33,70,Fighting,,,Psychic,×2,,,
base4-9,Magneton,[82],28,60,Lightning,,Magnemite,Fighting,×2,,,
base4-10,Mewtwo,[150],53,60,Psychic,,,Psychic,×2,,,
base4-11,Nidoking,[34],23,90,Grass,,Nidorino,Psychic,×2,,,
base4-12,Nidoqueen,[31],43,90,Grass,,Nidorina,Psychic,×2,,,
base4-13,Ninetales,[38],32,80,Fire,,Vulpix,Water,×2,,,
base4-14,Pidgeot,[18],40,80,Colorless,,Pidgeotto,Lightning,×2,,,
base4-15,Poliwrath,[62],48,90,Water,,Poliwhirl,Grass,×2,,,
base4-16,Raichu,[26],40,80,Lightning,,Pikachu,Fighting,×2,,,
base4-17,Scyther,[123],25,70,Grass,,,Fire,×2,,,
base4-18,Venusaur,[3],67,100,Grass,,Ivysaur,Fire,×2,Energy Trans,"As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.",Pokémon Power
base4-19,Wigglytuff,[40],36,80,Colorless,,Jigglypuff,Fighting,×2,,,
base4-20,Zapdos,[145],64,90,Lightning,,,,,,,
base4-21,Beedrill,[15],32,80,Grass,,Kakuna,Fire,×2,,,
base4-22,Dragonair,[148],33,80,Colorless,,Dratini,,,,,
base4-23,Dugtrio,[51],36,70,Fighting,,Diglett,Grass,×2,,,
base4-24,Electabuzz,[125],35,70,Lightning,,,Fighting,×2,,,
base4-25,Electrode,[101],40,80,Lightning,,Voltorb,Fighting,×2,Buzzap,"At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokémon. If you do, choose a type of Energy. Electrode is now an Energy card of that type (instead of a Pokémon) that provides 2 energy. This power can't be used if Electrode is Asleep, Confused, or Paralyzed.",Pokémon Power
base4-26,Kangaskhan,[115],40,90,Colorless,,,Fighting,×2,,,
base4-27,Mr. Mime,[122],28,40,Psychic,,Mime Jr.,Psychic,×2,Invisible Wall,"Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power stops working while Mr. Mime is Asleep, Confused, or Paralyzed.",Pokémon Power
base4-28,Pidgeotto,[17],36,60,Colorless,,Pidgey,Lightning,×2,,,
base4-29,Pinsir,[127],24,60,Grass,,,Fire,×2,,,
base4-30,Snorlax,[143],20,90,Colorless,,Munchlax,Fighting,×2,Thick Skinned,"Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed.",Pokémon Power
base4-31,Venomoth,[49],28,70,Grass,,Venonat,Fire,×2,Shift,"Once during your turn (before your attack), you may change the type of Venomoth to the type of any other Pokémon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed.",Pokémon Power
base4-32,Victreebel,[71],42,80,Grass,,Weepinbell,Fire,×2,,,
base4-33,Arcanine,[59],45,100,Fire,,Growlithe,Water,×2,,,
base4-34,Butterfree,[12],28,70,Grass,,Metapod,Fire,×2,,,
base4-35,Charmeleon,[5],32,80,Fire,,Charmander,Water,×2,,,
base4-36,Dewgong,[87],42,80,Water,,Seel,Lightning,×2,,,
base4-37,Dodrio,[85],28,70,Colorless,,Doduo,Lightning,×2,Retreat Aid,"As long as Dodrio is Benched, pay Colorless less to retreat your Active Pokémon.",Pokémon Power
base4-38,Dratini,[147],10,40,Colorless,,,,,,,
base4-39,Exeggutor,[103],35,80,Grass,,Exeggcute,Fire,×2,,,
base4-40,Farfetch'd,[83],20,50,Colorless,,,Lightning,×2,,,
base4-41,Fearow,[22],27,70,Colorless,,Spearow,Lightning,×2,,,
base4-42,Growlithe,[58],18,60,Fire,,,Water,×2,,,
base4-43,Haunter,[93],22,60,Psychic,,Gastly,,,,,
base4-44,Ivysaur,[2],20,60,Grass,,Bulbasaur,Fire,×2,,,
base4-45,Jynx,[124],23,70,Psychic,,,Psychic,×2,,,
base4-46,Kadabra,[64],38,60,Psychic,,Abra,Psychic,×2,,,
base4-47,Kakuna,[14],23,80,Grass,,Weedle,Fire,×2,,,
base4-48,Lickitung,[108],10,90,Colorless,,,Fighting,×2,,,
base4-49,Machoke,[67],40,80,Fighting,,Machop,Psychic,×2,,,
base4-50,Magikarp,[129],8,30,Water,,,Lightning,×2,,,
base4-51,Magmar,[126],24,50,Fire,,,Water,×2,,,
base4-52,Marowak,[105],26,60,Fighting,,Cubone,Grass,×2,,,
base4-53,Nidorina,[30],24,70,Grass,,Nidoran ♀,Psychic,×2,,,
base4-54,Nidorino,[33],25,60,Grass,,Nidoran ♂,Psychic,×2,,,
base4-55,Parasect,[47],28,60,Grass,,Paras,Fire,×2,,,
base4-56,Persian,[53],25,70,Colorless,,Meowth,Fighting,×2,,,
base4-57,Poliwhirl,[61],28,60,Water,,Poliwag,Grass,×2,,,
base4-58,Raticate,[20],41,60,Colorless,,Rattata,Fighting,×2,,,
base4-59,Rhydon,[112],48,100,Fighting,,Rhyhorn,Grass,×2,,,
base4-60,Seaking,[119],28,70,Water,,Goldeen,Lightning,×2,,,
base4-61,Seel,[86],12,60,Water,,,Lightning,×2,,,
base4-62,Tauros,[128],24,60,Colorless,,,Fighting,×2,,,
base4-63,Wartortle,[8],22,70,Water,,Squirtle,Lightning,×2,,,
base4-64,Weepinbell,[70],28,70,Grass,,Bellsprout,Fire,×2,,,
base4-65,Abra,[63],10,30,Psychic,,,Psychic,×2,,,
base4-66,Bellsprout,[69],11,40,Grass,,,Fire,×2,,,
base4-67,Bulbasaur,[1],13,40,Grass,,,Fire,×2,,,
base4-68,Caterpie,[10],13,40,Grass,,,Fire,×2,,,
base4-69,Charmander,[4],10,50,Fire,,,Water,×2,,,
base4-70,Cubone,[104],13,40,Fighting,,,Grass,×2,,,
base4-71,Diglett,[50],8,30,Fighting,,,Grass,×2,,,
base4-72,Doduo,[84],10,50,Colorless,,,Lightning,×2,,,
base4-73,Drowzee,[96],10,50,Psychic,,,Psychic,×2,,,
base4-74,Exeggcute,[102],14,50,Grass,,,Fire,×2,,,
base4-75,Gastly,[92],8,30,Psychic,,,,,,,
base4-76,Goldeen,[118],12,40,Water,,,Lightning,×2,,,
base4-77,Jigglypuff,[39],14,60,Colorless,,,Fighting,×2,,,
base4-78,Machop,[66],20,50,Fighting,,,Psychic,×2,,,
base4-79,Magnemite,[81],13,40,Lightning,,,Fighting,×2,,,
base4-80,Meowth,[52],15,50,Colorless,,,Fighting,×2,,,
base4-81,Metapod,[11],21,70,Grass,,Caterpie,Fire,×2,,,
base4-82,Nidoran ♀,[29],13,60,Grass,,,Psychic,×2,,,
base4-83,Nidoran ♂,[32],20,40,Grass,,,Psychic,×2,,,
