pokemon,attack_name,type,count
base2-1,Minimize,Colorless,2
base2-2,Tackle,Colorless,2
base2-2,Chain Lightning,Lightning,3
base2-3,Quick Attack,Colorless,2
base2-3,Flamethrower,Fire,2
base2-3,Flamethrower,Colorless,2
base2-4,Quick Attack,Colorless,2
base2-4,Pin Missile,Lightning,2
base2-4,Pin Missile,Colorless,1
base2-5,Fetch,Colorless,1
base2-5,Comet Punch,Colorless,4
base2-6,Meditate,Psychic,1
base2-6,Meditate,Colorless,1
base2-7,Boyfriends,Grass,1
base2-7,Boyfriends,Colorless,1
base2-7,Mega Punch,Grass,2
base2-7,Mega Punch,Colorless,2
base2-8,Wing Attack,Colorless,2
base2-8,Hurricane,Colorless,3
base2-9,Irongrip,Grass,2
base2-9,Guillotine,Grass,2
base2-9,Guillotine,Colorless,2
base2-10,Swords Dance,Grass,1
base2-10,Slash,Colorless,3
base2-11,Body Slam,Colorless,4
base2-12,Quick Attack,Colorless,2
base2-12,Water Gun,Water,2
base2-12,Water Gun,Colorless,1
base2-13,Venom Powder,Grass,2
base2-14,Lure,Grass,1
base2-14,Acid,Grass,2
base2-15,Petal Dance,Grass,3
base2-16,Lullaby,Colorless,1
base2-16,Do the Wave,Colorless,3
base2-17,Metronome,Colorless,1
base2-17,Minimize,Colorless,2
base2-18,Tackle,Colorless,2
base2-18,Chain Lightning,Lightning,3
base2-19,Quick Attack,Colorless,2
base2-19,Flamethrower,Fire,2
base2-19,Flamethrower,Colorless,2
base2-20,Quick Attack,Colorless,2
base2-20,Pin Missile,Lightning,2
base2-20,Pin Missile,Colorless,1
base2-21,Fetch,Colorless,1
base2-21,Comet Punch,Colorless,4
base2-22,Meditate,Psychic,1
base2-22,Meditate,Colorless,1
base2-23,Boyfriends,Grass,1
base2-23,Boyfriends,Colorless,1
base2-23,Mega Punch,Grass,2
base2-23,Mega Punch,Colorless,2
base2-24,Wing Attack,Colorless,2
base2-24,Hurricane,Colorless,3
base2-25,Irongrip,Grass,2
base2-25,Guillotine,Grass,2
base2-25,Guillotine,Colorless,2
base2-26,Swords Dance,Grass,1
base2-26,Slash,Colorless,3
base2-27,Body Slam,Colorless,4
base2-28,Quick Attack,Colorless,2
base2-28,Water Gun,Water,2
base2-28,Water Gun,Colorless,1
base2-29,Venom Powder,Grass,2
base2-30,Lure,Grass,1
base2-30,Acid,Grass,2
base2-31,Petal Dance,Grass,3
base2-32,Lullaby,Colorless,1
base2-32,Do the Wave,Colorless,3
base2-33,Whirlwind,Colorless,2
base2-33,Mega Drain,Grass,4
base2-34,Rage,Colorless,3
base2-35,Teleport,Psychic,1
base2-35,Big Eggsplosion,Colorless,1
base2-36,Agility,Colorless,3
base2-36,Drill Peck,Colorless,4
base2-37,Poisonpowder,Grass,1
base2-37,Foul Odor,Grass,2
base2-38,Tongue Wrap,Colorless,1
base2-38,Supersonic,Colorless,2
base2-39,Bonemerang,Fighting,2
base2-39,Call for Friend,Fighting,2
base2-39,Call for Friend,Colorless,1
base2-40,Supersonic,Grass,1
base2-40,Double Kick,Grass,1
base2-40,Double Kick,Colorless,2
base2-41,Spore,Grass,2
base2-41,Slash,Colorless,3
base2-42,Scratch,Colorless,2
base2-42,Pounce,Colorless,3
base2-43,Fury Swipes,Fighting,2
base2-43,Tantrum,Fighting,2
base2-43,Tantrum,Colorless,1
base2-44,Stomp,Colorless,2
base2-44,Agility,Fire,2
base2-44,Agility,Colorless,1
base2-45,Horn Attack,Fighting,1
base2-45,Horn Attack,Colorless,2
base2-45,Ram,Fighting,4
base2-46,Horn Attack,Water,1
base2-46,Waterfall,Water,1
base2-46,Waterfall,Colorless,1
base2-47,Stomp,Colorless,2
base2-47,Rampage,Colorless,3
base2-48,Poisonpowder,Grass,1
base2-48,Razor Leaf,Grass,2
base2-49,Vine Whip,Grass,1
base2-49,Call for Family,Grass,1
base2-50,Snivel,Colorless,1
base2-50,Rage,Fighting,2
base2-51,Tail Wag,Colorless,1
base2-51,Quick Attack,Colorless,2
base2-52,Hypnosis,Psychic,1
base2-52,Leech Seed,Grass,2
base2-53,Horn Attack,Water,1
base2-54,Lullaby,Colorless,1
base2-54,Pound,Colorless,2
base2-55,Scratch,Colorless,1
base2-56,Pay Day,Colorless,2
base2-57,Fury Swipes,Grass,1
base2-57,Call for Family,Grass,2
base2-58,Stun Spore,Grass,1
base2-58,Sprout,Grass,2
base2-59,Scratch,Colorless,2
base2-59,Spore,Grass,2
base2-60,Spark,Lightning,2
base2-61,Leer,Colorless,1
base2-61,Horn Attack,Fighting,1
base2-61,Horn Attack,Colorless,2
base2-62,Peck,Colorless,1
base2-62,Mirror Move,Colorless,3
base2-63,Stun Spore,Grass,1
base2-63,Leech Life,Grass,1
base2-63,Leech Life,Colorless,1
base3-1,Wing Attack,Colorless,3
base3-2,Freeze Dry,Water,3
base3-2,Blizzard,Water,4
base3-4,Slam,Colorless,4
base3-5,Dark Mind,Psychic,3
base3-6,Nightmare,Psychic,1
base3-6,Nightmare,Colorless,1
base3-7,Stretch Kick,Fighting,2
base3-7,High Jump Kick,Fighting,3
base3-8,Prophecy,Psychic,1
base3-8,Dark Mind,Psychic,3
base3-9,Sharp Sickle,Fighting,2
base3-9,Absorb,Fighting,4
base3-10,Water Gun,Water,1
base3-10,Confuse Ray,Water,2
base3-11,Sonicboom,Lightning,1
base3-11,Sonicboom,Colorless,1
base3-11,Selfdestruct,Lightning,4
base3-12,Wildfire,Fire,1
base3-12,Dive Bomb,Fire,4
base3-13,Sludge,Grass,3
base3-14,Gigashock,Lightning,4
base3-15,Thunderstorm,Lightning,4
base3-16,Wing Attack,Colorless,3
base3-17,Freeze Dry,Water,3
base3-17,Blizzard,Water,4
base3-19,Slam,Colorless,4
base3-20,Dark Mind,Psychic,3
base3-21,Nightmare,Psychic,1
base3-21,Nightmare,Colorless,1
base3-22,Stretch Kick,Fighting,2
base3-22,High Jump Kick,Fighting,3
base3-23,Prophecy,Psychic,1
base3-23,Dark Mind,Psychic,3
base3-24,Sharp Sickle,Fighting,2
base3-24,Absorb,Fighting,4
base3-25,Water Gun,Water,1
base3-25,Confuse Ray,Water,2
base3-26,Sonicboom,Lightning,1
base3-26,Sonicboom,Colorless,1
base3-26,Selfdestruct,Lightning,4
base3-27,Wildfire,Fire,1
base3-27,Dive Bomb,Fire,4
base3-28,Sludge,Grass,3
base3-29,Gigashock,Lightning,4
base3-30,Thunderstorm,Lightning,4
base3-31,Terror Strike,Grass,1
base3-31,Poison Fang,Grass,2
base3-31,Poison Fang,Colorless,1
base3-32,Clamp,Water,2
base3-32,Spike Cannon,Water,2
base3-33,Lick,Psychic,1
base3-33,Energy Conversion,Psychic,2
base3-34,Wing Attack,Colorless,3
base3-34,Leech Life,Grass,2
base3-34,Leech Life,Colorless,1
base3-35,Psyshock,Psychic,1
base3-35,Hyper Beam,Water,2
base3-35,Hyper Beam,Colorless,1
base3-36,Avalanche,Fighting,3
base3-36,Avalanche,Colorless,1
base3-36,Selfdestruct,Fighting,4
base3-37,Harden,Fighting,2
base3-37,Rock Throw,Fighting,2
base3-37,Rock Throw,Colorless,1
base3-38,Flail,Water,1
base3-38,Crabhammer,Water,2
base3-38,Crabhammer,Colorless,1
base3-39,Smokescreen,Fire,1
base3-39,Smog,Fire,2
base3-40,Water Gun,Water,1
base3-40,Water Gun,Colorless,1
base3-40,Spike Cannon,Water,2
base3-41,Slash,Colorless,2
base3-41,Fury Swipes,Fighting,2
base3-42,Water Gun,Water,1
base3-42,Water Gun,Colorless,1
base3-42,Agility,Water,1
base3-42,Agility,Colorless,2
base3-43,Psyshock,Psychic,2
base3-44,Supersonic,Water,1
base3-44,Jellyfish Sting,Water,2
base3-45,Smog,Grass,2
base3-45,Selfdestruct,Grass,2
base3-45,Selfdestruct,Colorless,1
base3-46,Spit Poison,Grass,1
base3-46,Wrap,Grass,1
base3-46,Wrap,Colorless,1
base3-47,Stone Barrage,Fighting,1
base3-47,Stone Barrage,Colorless,1
base3-48,Nasty Goo,Colorless,1
base3-48,Minimize,Grass,1
base3-49,Smokescreen,Water,1
base3-50,Scratch,Colorless,1
base3-51,Call for Family,Water,1
base3-51,Irongrip,Water,1
base3-51,Irongrip,Colorless,1
base3-52,Water Gun,Water,1
base3-53,Headache,Psychic,1
base3-53,Fury Swipes,Water,1
base3-54,Supersonic,Water,1
base3-54,Hide in Shell,Water,1
base3-55,Spacing Out,Colorless,1
base3-55,Scavenge,Psychic,2
base3-56,Acid,Water,1
base3-57,Supersonic,Colorless,2
base3-57,Leech Life,Grass,1
base3-57,Leech Life,Colorless,1
base4-1,Confuse Ray,Psychic,3
base4-2,Hydro Pump,Water,3
base4-3,Scrunch,Colorless,2
base4-3,Double-edge,Colorless,4
base4-4,Fire Spin,Fire,4
base4-5,Metronome,Colorless,1
base4-5,Minimize,Colorless,2
base4-6,Sing,Colorless,1
base4-6,Metronome,Colorless,3
base4-7,Dragon Rage,Water,3
base4-7,Bubblebeam,Water,4
base4-8,Jab,Fighting,1
base4-8,Special Punch,Fighting,2
base4-8,Special Punch,Colorless,1
base4-9,Thunder Wave,Lightning,2
base4-9,Thunder Wave,Colorless,1
base4-9,Selfdestruct,Lightning,2
base4-9,Selfdestruct,Colorless,2
base4-10,Psychic,Psychic,1
base4-10,Psychic,Colorless,1
base4-10,Barrier,Psychic,2
base4-11,Thrash,Grass,1
base4-11,Thrash,Colorless,2
base4-11,Toxic,Grass,3
base4-12,Boyfriends,Grass,1
base4-12,Boyfriends,Colorless,1
base4-12,Mega Punch,Grass,2
base4-12,Mega Punch,Colorless,2
base4-13,Lure,Colorless,2
base4-13,Fire Blast,Fire,4
base4-14,Wing Attack,Colorless,2
base4-14,Hurricane,Colorless,3
base4-15,Water Gun,Water,2
base4-15,Water Gun,Colorless,1
base4-15,Whirlpool,Water,2
base4-15,Whirlpool,Colorless,2
base4-16,Agility,Lightning,1
base4-16,Agility,Colorless,2
base4-16,Thunder,Lightning,3
base4-16,Thunder,Colorless,1
base4-17,Swords Dance,Grass,1
base4-17,Slash,Colorless,3
base4-18,Solarbeam,Grass,4
base4-19,Lullaby,Colorless,1
base4-19,Do the Wave,Colorless,3
base4-20,Thunder,Lightning,3
base4-20,Thunder,Colorless,1
base4-20,Thunderbolt,Lightning,4
base4-21,Twineedle,Colorless,3
base4-21,Poison Sting,Grass,3
base4-22,Slam,Colorless,3
base4-22,Hyper Beam,Colorless,4
base4-23,Slash,Fighting,2
base4-23,Slash,Colorless,1
base4-23,Earthquake,Fighting,4
base4-24,Thundershock,Lightning,1
base4-24,Thunderpunch,Lightning,1
base4-24,Thunderpunch,Colorless,1
base4-25,Electric Shock,Lightning,3
base4-26,Fetch,Colorless,1
base4-26,Comet Punch,Colorless,4
base4-27,Meditate,Psychic,1
base4-27,Meditate,Colorless,1
base4-28,Whirlwind,Colorless,2
base4-28,Mirror Move,Colorless,3
base4-29,Irongrip,Grass,2
base4-29,Guillotine,Grass,2
base4-29,Guillotine,Colorless,2
base4-30,Body Slam,Colorless,4
base4-31,Venom Powder,Grass,2
base4-32,Lure,Grass,1
base4-32,Acid,Grass,2
base4-33,Flamethrower,Fire,2
base4-33,Flamethrower,Colorless,1
base4-33,Take Down,Fire,2
base4-33,Take Down,Colorless,2
base4-34,Whirlwind,Colorless,2
base4-34,Mega Drain,Grass,4
base4-35,Slash,Colorless,3
base4-35,Flamethrower,Fire,2
base4-35,Flamethrower,Colorless,1
base4-36,Aurora Beam,Water,2
base4-36,Aurora Beam,Colorless,1
base4-36,Ice Beam,Water,2
base4-36,Ice Beam,Colorless,2
base4-37,Rage,Colorless,3
base4-38,Pound,Colorless,1
base4-39,Teleport,Psychic,1
base4-39,Big Eggsplosion,Colorless,1
base4-40,Leek Slap,Colorless,1
base4-40,Pot Smash,Colorless,3
base4-41,Agility,Colorless,3
base4-41,Drill Peck,Colorless,4
base4-42,Flare,Fire,1
base4-42,Flare,Colorless,1
base4-43,Hypnosis,Psychic,1
base4-43,Dream Eater,Psychic,2
base4-44,Vine Whip,Grass,1
base4-44,Vine Whip,Colorless,2
base4-44,Poisonpowder,Grass,3
base4-45,Doubleslap,Psychic,1
base4-45,Meditate,Psychic,2
base4-45,Meditate,Colorless,1
base4-46,Recover,Psychic,2
base4-46,Super Psy,Psychic,2
base4-46,Super Psy,Colorless,1
base4-47,Stiffen,Colorless,2
base4-47,Poisonpowder,Grass,2
base4-48,Tongue Wrap,Colorless,1
base4-48,Supersonic,Colorless,2
base4-49,Karate Chop,Fighting,2
base4-49,Karate Chop,Colorless,1
base4-49,Submission,Fighting,2
base4-49,Submission,Colorless,2
base4-50,Tackle,Colorless,1
base4-50,Flail,Water,1
base4-51,Fire Punch,Fire,2
base4-51,Flamethrower,Fire,2
base4-51,Flamethrower,Colorless,1
base4-52,Bonemerang,Fighting,2
base4-52,Call for Friend,Fighting,2
base4-52,Call for Friend,Colorless,1
base4-53,Supersonic,Grass,1
base4-53,Double Kick,Grass,1
base4-53,Double Kick,Colorless,2
base4-54,Double Kick,Grass,1
base4-54,Double Kick,Colorless,2
base4-54,Horn Drill,Grass,2
base4-54,Horn Drill,Colorless,2
base4-55,Spore,Grass,2
base4-55,Slash,Colorless,3
base4-56,Scratch,Colorless,2
base4-56,Pounce,Colorless,3
base4-57,Amnesia,Water,2
base4-57,Doubleslap,Water,2
base4-57,Doubleslap,Colorless,1
base4-58,Bite,Colorless,1
base4-58,Super Fang,Colorless,3
base4-59,Horn Attack,Fighting,1
base4-59,Horn Attack,Colorless,2
base4-59,Ram,Fighting,4
base4-60,Horn Attack,Water,1
base4-60,Waterfall,Water,1
base4-60,Waterfall,Colorless,1
base4-61,Headbutt,Water,1
base4-62,Stomp,Colorless,2
base4-62,Rampage,Colorless,3
base4-63,Withdraw,Water,1
base4-63,Withdraw,Colorless,1
base4-63,Bite,Water,1
base4-63,Bite,Colorless,2
base4-64,Poisonpowder,Grass,1
base4-64,Razor Leaf,Grass,2
base4-65,Psyshock,Psychic,1
base4-66,Vine Whip,Grass,1
base4-66,Call for Family,Grass,1
base4-67,Leech Seed,Grass,2
base4-68,String Shot,Grass,1
base4-69,Scratch,Colorless,1
base4-69,Ember,Fire,1
base4-69,Ember,Colorless,1
base4-70,Snivel,Colorless,1
base4-70,Rage,Fighting,2
base4-71,Dig,Fighting,1
base4-71,Mud Slap,Fighting,2
base4-72,Fury Attack,Colorless,1
base4-73,Pound,Colorless,1
base4-73,Confuse Ray,Psychic,2
base4-74,Hypnosis,Psychic,1
base4-74,Leech Seed,Grass,2
base4-75,Sleeping Gas,Psychic,1
base4-75,Destiny Bond,Psychic,1
base4-75,Destiny Bond,Colorless,1
base4-76,Horn Attack,Water,1
base4-77,Lullaby,Colorless,1
base4-77,Pound,Colorless,2
base4-78,Low Kick,Fighting,1
base4-79,Thunder Wave,Lightning,1
base4-79,Selfdestruct,Lightning,1
base4-79,Selfdestruct,Colorless,1
base4-80,Pay Day,Colorless,2
base4-81,Stiffen,Colorless,2
base4-81,Stun Spore,Grass,2
base4-82,Fury Swipes,Grass,1
base4-82,Call for Family,Grass,2
base4-83,Horn Hazard,Grass,1
base4-84,Rock Throw,Fighting,1
base4-84,Harden,Fighting,2
base4-85,Scratch,Colorless,2
base4-85,Spore,Grass,2
base4-86,Whirlwind,Colorless,2
base4-87,Gnaw,Colorless,1
base4-87,Thunder Jolt,Lightning,1
base4-87,Thunder Jolt,Colorless,1
base4-88,Water Gun,Water,1
base4-89,Bite,Colorless,1
base4-90,Leer,Colorless,1
base4-90,Horn Attack,Fighting,1
base4-90,Horn Attack,Colorless,2
base4-91,Sand-attack,Fighting,1
base4-92,Peck,Colorless,1
base4-92,Mirror Move,Colorless,3
base4-93,Bubble,Water,1
base4-93,Withdraw,Water,1
base4-93,Withdraw,Colorless,1
base4-94,Recover,Water,2
base4-94,Star Freeze,Water,1
base4-94,Star Freeze,Colorless,2
base4-95,Slap,Water,1
base4-96,Bind,Grass,1
base4-96,Bind,Colorless,1
base4-96,Poisonpowder,Grass,3
base4-97,Stun Spore,Grass,1
base4-97,Leech Life,Grass,1
base4-97,Leech Life,Colorless,1
base4-98,Tackle,Colorless,1
base4-99,Confuse Ray,Fire,2
base4-100,Poison Sting,Grass,1
base5-1,Teleport Blast,Psychic,2
base5-1,Teleport Blast,Colorless,1
base5-1,Mind Shock,Psychic,3
base5-2,Stare,Grass,2
base5-2,Poison Vapor,Grass,3
base5-3,Hydrocannon,Water,2
base5-3,Rocket Tackle,Water,1
base5-3,Rocket Tackle,Colorless,2
base5-4,Nail Flick,Colorless,1
base5-4,Continuous Fireball,Fire,2
base5-5,Giant Tail,Colorless,4
base5-6,Knock Down,Fighting,2
base5-7,Flitter,Grass,2
base5-8,Ice Beam,Water,3
base5-9,Psypunch,Psychic,1
base5-9,Bench Manipulation,Psychic,2
base5-9,Bench Manipulation,Colorless,1
base5-10,Mega Punch,Fighting,2
base5-10,Fling,Fighting,3
base5-10,Fling,Colorless,1
base5-11,Sonicboom,Colorless,2
base5-11,Magnetic Lines,Lightning,2
base5-12,Fickle Attack,Psychic,2
base5-13,Petal Whirlwind,Grass,3
base5-14,Mass Explosion,Grass,1
base5-14,Mass Explosion,Colorless,1
base5-14,Stun Gas,Grass,3
base5-18,Teleport Blast,Psychic,2
base5-18,Teleport Blast,Colorless,1
base5-18,Mind Shock,Psychic,3
base5-19,Stare,Grass,2
base5-19,Poison Vapor,Grass,3
base5-20,Hydrocannon,Water,2
base5-20,Rocket Tackle,Water,1
base5-20,Rocket Tackle,Colorless,2
base5-21,Nail Flick,Colorless,1
base5-21,Continuous Fireball,Fire,2
base5-22,Giant Tail,Colorless,4
base5-23,Knock Down,Fighting,2
base5-24,Flitter,Grass,2
base5-25,Ice Beam,Water,3
base5-26,Psypunch,Psychic,1
base5-26,Bench Manipulation,Psychic,2
base5-26,Bench Manipulation,Colorless,1
base5-27,Mega Punch,Fighting,2
base5-27,Fling,Fighting,3
base5-27,Fling,Colorless,1
base5-28,Sonicboom,Colorless,2
base5-28,Magnetic Lines,Lightning,2
base5-29,Fickle Attack,Psychic,2
base5-30,Petal Whirlwind,Grass,3
base5-31,Mass Explosion,Grass,1
base5-31,Mass Explosion,Colorless,1
base5-31,Stun Gas,Grass,3
base5-32,Tail Slap,Colorless,2
base5-32,Fireball,Fire,3
base5-33,Tail Strike,Colorless,3
base5-34,Rolling Tackle,Colorless,1
base5-34,Energy Bomb,Lightning,2
base5-35,Rage,Colorless,1
base5-35,Playing with Fire,Fire,2
base5-36,Poisonpowder,Grass,2
base5-37,Third Eye,Psychic,1
base5-37,Super Psy,Psychic,2
base5-37,Super Psy,Colorless,1
base5-38,Lightning Flash,Lightning,1
base5-38,Thunder Attack,Lightning,2
base5-38,Thunder Attack,Colorless,1
base5-39,Mind Shock,Psychic,2
base5-40,Drag Off,Fighting,2
base5-40,Drag Off,Colorless,1
base5-40,Knock Back,Fighting,2
base5-40,Knock Back,Colorless,1
base5-41,Sludge Punch,Grass,2
base5-42,Fascinate,Colorless,1
base5-42,Poison Claws,Colorless,2
base5-43,Frenzied Attack,Fighting,2
base5-44,Rear Kick,Colorless,2
base5-44,Flame Pillar,Fire,2
base5-45,Bite,Colorless,3
base5-45,Whirlpool,Water,2
base5-45,Whirlpool,Colorless,1
base5-46,Doubleslap,Water,1
base5-46,Mirror Shell,Water,1
base5-46,Mirror Shell,Colorless,1
base5-47,Flop,Colorless,1
base5-47,Rapid Evolution,Water,3
base5-48,Conversion 1,Colorless,1
base5-48,Psybeam,Colorless,3
base5-49,Vanish,Psychic,1
base5-49,Psyshock,Psychic,1
base5-50,Fire Tail,Fire,1
base5-51,Gnaw,Colorless,2
base5-51,Hyper Fang,Colorless,3
base5-52,Dig Under,Fighting,1
base5-52,Scratch,Fighting,1
base5-52,Scratch,Colorless,1
base5-53,Wrap,Colorless,2
base5-54,Nightmare,Psychic,1
base5-54,Nightmare,Colorless,1
base5-55,Tackle,Colorless,1
base5-55,Sand-attack,Colorless,2
base5-56,Bite,Colorless,1
base5-56,Poison Sting,Grass,2
base5-57,Poison Gas,Grass,1
base5-57,Sticky Hands,Grass,2
base5-58,Tackle,Colorless,1
base5-58,Poison Gas,Grass,1
base5-58,Poison Gas,Colorless,1
base5-59,Punch,Colorless,2
base5-59,Kick,Fighting,1
base5-59,Kick,Colorless,2
base5-60,Tackle,Colorless,2
base5-60,Magnetism,Lightning,1
base5-60,Magnetism,Colorless,1
base5-61,Mischief,Colorless,1
base5-61,Anger,Fighting,1
base5-61,Anger,Colorless,1
base5-62,Coin Hurl,Colorless,2
base5-63,Sleep Powder,Grass,1
base5-63,Poisonpowder,Grass,1
base5-64,Ember,Fire,1
base5-64,Ember,Colorless,1
base5-65,Dizziness,Psychic,1
base5-65,Water Gun,Water,1
base5-65,Water Gun,Colorless,1
base5-66,Quick Attack,Colorless,1
base5-67,Afternoon Nap,Colorless,1
base5-67,Headbutt,Psychic,1
base5-68,Shell Attack,Colorless,2
base5-69,Speed Ball,Lightning,1
base5-70,Ram,Colorless,1
base5-70,Bite,Grass,1
base5-70,Bite,Colorless,1
base5-83,Surprise Thunder,Lightning,3
base6-1,Confuse Ray,Psychic,3
base6-2,Freeze Dry,Water,3
base6-2,Blizzard,Water,4
base6-3,Fire Spin,Fire,4
base6-4,Hydrocannon,Water,2
base6-4,Rocket Tackle,Water,1
base6-4,Rocket Tackle,Colorless,2
base6-5,Giant Tail,Colorless,4
base6-6,Fascinate,Colorless,1
base6-6,Poison Claws,Colorless,2
base6-7,Surprise Thunder,Lightning,3
base6-8,Fickle Attack,Psychic,2
base6-9,Bite,Colorless,3
base6-9,Whirlpool,Water,2
base6-9,Whirlpool,Colorless,1
base6-10,Quick Attack,Colorless,2
base6-10,Flamethrower,Fire,2
base6-10,Flamethrower,Colorless,2
base6-11,Dark Mind,Psychic,3
base6-12,Dragon Rage,Water,3
base6-12,Bubblebeam,Water,4
base6-13,Stretch Kick,Fighting,2
base6-13,High Jump Kick,Fighting,3
base6-14,Quick Attack,Colorless,2
base6-14,Pin Missle,Lightning,2
base6-14,Pin Missle,Colorless,1
base6-15,Seismic Toss,Fighting,3
base6-15,Seismic Toss,Colorless,1
base6-16,Sludge,Grass,3
base6-17,Lure,Colorless,2
base6-17,Fire Blast,Fire,4
base6-18,Solarbeam,Grass,4
base6-19,Thunder,Lightning,3
base6-19,Thunder,Colorless,1
