id,name,card_rule,"CONCATENATE(""insert into trainer_cards ("",TEXTJOIN("","",TRUE,A$1,C$1),"") values('"",TEXTJOIN(""','"",FALSE,A2,C2),""');"")"
base1-85,Pokémon Center,"Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.","insert into trainer_cards (id,card_rule) values('base1-85','Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.');"
base1-86,Pokémon Flute,Choose 1 Basic Pokémon card from your opponent''s discard pile and put it onto his or her Bench. (You can''t play Pokémon Flute if your opponent''s Bench is full.),"insert into trainer_cards (id,card_rule) values('base1-86','Choose 1 Basic Pokémon card from your opponent''s discard pile and put it onto his or her Bench. (You can''t play Pokémon Flute if your opponent''s Bench is full.)');"
base1-87,Pokédex,Look at up to 5 cards from the top of your deck and rearrange them as you like.,"insert into trainer_cards (id,card_rule) values('base1-87','Look at up to 5 cards from the top of your deck and rearrange them as you like.');"
base1-88,Professor Oak,"Discard your hand, then draw 7 cards.","insert into trainer_cards (id,card_rule) values('base1-88','Discard your hand, then draw 7 cards.');"
base1-89,Revive,Put 1 Basic Pokémon card from your discard pile onto your Bench. Put damage counters on that Pokémon equal to half its HP (rounded down to the nearest 10). (You can''t play Revive if your Bench is full.),"insert into trainer_cards (id,card_rule) values('base1-89','Put 1 Basic Pokémon card from your discard pile onto your Bench. Put damage counters on that Pokémon equal to half its HP (rounded down to the nearest 10). (You can''t play Revive if your Bench is full.)');"
base1-90,Super Potion,Discard 1 Energy card attached to your own Pokémon in order to remove up to 4 damage counters from that Pokémon.,"insert into trainer_cards (id,card_rule) values('base1-90','Discard 1 Energy card attached to your own Pokémon in order to remove up to 4 damage counters from that Pokémon.');"
base1-91,Bill,Draw 2 cards.,"insert into trainer_cards (id,card_rule) values('base1-91','Draw 2 cards.');"
base1-92,Energy Removal,Choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.,"insert into trainer_cards (id,card_rule) values('base1-92','Choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.');"
base1-93,Gust of Wind,Choose 1 of your opponent''s Benched Pokémon and switch it with his or her Active Pokémon.,"insert into trainer_cards (id,card_rule) values('base1-93','Choose 1 of your opponent''s Benched Pokémon and switch it with his or her Active Pokémon.');"
base1-94,Potion,Remove up to 2 damage counters from 1 of your Pokémon.,"insert into trainer_cards (id,card_rule) values('base1-94','Remove up to 2 damage counters from 1 of your Pokémon.');"
base1-95,Switch,Switch 1 of your own Benched Pokémon with your Active Pokémon.,"insert into trainer_cards (id,card_rule) values('base1-95','Switch 1 of your own Benched Pokémon with your Active Pokémon.');"
base2-64,Poké Ball,"Flip a coin. If heads, you may search your deck for any Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('base2-64','Flip a coin. If heads, you may search your deck for any Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.');"
base3-58,Mr. Fuji,Choose a Pokémon on your Bench. Shuffle it and any cards attached to it into your deck.,"insert into trainer_cards (id,card_rule) values('base3-58','Choose a Pokémon on your Bench. Shuffle it and any cards attached to it into your deck.');"
base3-59,Energy Search,Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base3-59','Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.');"
base3-60,Gambler,"Shuffle your hand into your deck. Flip a coin. If heads, draw 8 cards. If tails, draw 1 card.","insert into trainer_cards (id,card_rule) values('base3-60','Shuffle your hand into your deck. Flip a coin. If heads, draw 8 cards. If tails, draw 1 card.');"
base3-61,Recycle,"Flip a coin. If heads, put a card in your discard pile on top of your deck.","insert into trainer_cards (id,card_rule) values('base3-61','Flip a coin. If heads, put a card in your discard pile on top of your deck.');"
base3-62,Mysterious Fossil,"Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can''t retreat, and can''t be Asleep, Confused, Paralyzed, or Poisoned. If Mysterious Fossil is Knocked Out, it doesn''t count as a Knocked Out Pokémon. (Discard it anyway.) At any time during your turn before your attack, you may discard Mysterious Fossil from play.","insert into trainer_cards (id,card_rule) values('base3-62','Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can''t retreat, and can''t be Asleep, Confused, Paralyzed, or Poisoned. If Mysterious Fossil is Knocked Out, it doesn''t count as a Knocked Out Pokémon. (Discard it anyway.) At any time during your turn before your attack, you may discard Mysterious Fossil from play.');"
base4-101,Computer Search,Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base4-101','Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.');"
base4-102,Imposter Professor Oak,"Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.","insert into trainer_cards (id,card_rule) values('base4-102','Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.');"
base4-103,Item Finder,Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.,"insert into trainer_cards (id,card_rule) values('base4-103','Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.');"
base4-104,Lass,"You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.","insert into trainer_cards (id,card_rule) values('base4-104','You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.');"
base4-105,Pokémon Breeder,Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.,"insert into trainer_cards (id,card_rule) values('base4-105','Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.');"
base4-106,Pokémon Trader,Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base4-106','Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.');"
base4-107,Scoop Up,Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.),"insert into trainer_cards (id,card_rule) values('base4-107','Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.)');"
base4-108,Super Energy Removal,Discard 1 Energy card attached to 1 of your own Pokémon in order to choose 1 of your opponent''s Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.,"insert into trainer_cards (id,card_rule) values('base4-108','Discard 1 Energy card attached to 1 of your own Pokémon in order to choose 1 of your opponent''s Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.');"
base4-109,Defender,"Attach Defender to 1 of your Pokémon. At the end of your opponent''s next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).","insert into trainer_cards (id,card_rule) values('base4-109','Attach Defender to 1 of your Pokémon. At the end of your opponent''s next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).');"
base4-110,Energy Retrieval,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,"insert into trainer_cards (id,card_rule) values('base4-110','Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.');"
base4-111,Full Heal,"Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.","insert into trainer_cards (id,card_rule) values('base4-111','Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.');"
base4-112,Maintenance,Shuffle 2 of the other cards from your hand into your deck in order to draw a card.,"insert into trainer_cards (id,card_rule) values('base4-112','Shuffle 2 of the other cards from your hand into your deck in order to draw a card.');"
base4-113,PlusPower,"Attach PlusPower to your Active Pokémon. At the end of your turn, discard PlusPower. If this Pokémon''s attack does damage to the Defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.","insert into trainer_cards (id,card_rule) values('base4-113','Attach PlusPower to your Active Pokémon. At the end of your turn, discard PlusPower. If this Pokémon''s attack does damage to the Defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.');"
base4-114,Pokémon Center,"Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.","insert into trainer_cards (id,card_rule) values('base4-114','Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.');"
base4-115,Pokédex,Look at up to 5 cards from the top of your deck and rearrange them as you like.,"insert into trainer_cards (id,card_rule) values('base4-115','Look at up to 5 cards from the top of your deck and rearrange them as you like.');"
base4-116,Professor Oak,"Discard your hand, then draw 7 cards.","insert into trainer_cards (id,card_rule) values('base4-116','Discard your hand, then draw 7 cards.');"
base4-117,Super Potion,Discard 1 Energy card attached to 1 of your own Pokémon in order to remove up to 4 damage counters from that Pokémon.,"insert into trainer_cards (id,card_rule) values('base4-117','Discard 1 Energy card attached to 1 of your own Pokémon in order to remove up to 4 damage counters from that Pokémon.');"
base4-118,Bill,Draw 2 cards.,"insert into trainer_cards (id,card_rule) values('base4-118','Draw 2 cards.');"
base4-119,Energy Removal,Choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.,"insert into trainer_cards (id,card_rule) values('base4-119','Choose 1 Energy card attached to 1 of your opponent''s Pokémon and discard it.');"
base4-120,Gust of Wind,Choose 1 of your opponent''s Benched Pokémon and switch it with his or her Active Pokémon.,"insert into trainer_cards (id,card_rule) values('base4-120','Choose 1 of your opponent''s Benched Pokémon and switch it with his or her Active Pokémon.');"
base4-121,Poké Ball,"Flip a coin. If heads, you may search your deck for any Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.","insert into trainer_cards (id,card_rule) values('base4-121','Flip a coin. If heads, you may search your deck for any Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.');"
base4-122,Potion,Remove up to 2 damage counters from 1 of your Pokémon.,"insert into trainer_cards (id,card_rule) values('base4-122','Remove up to 2 damage counters from 1 of your Pokémon.');"
base4-123,Switch,Switch 1 of your Benched Pokémon with your Active Pokémon.,"insert into trainer_cards (id,card_rule) values('base4-123','Switch 1 of your Benched Pokémon with your Active Pokémon.');"
base5-15,Here Comes Team Rocket!,Each player plays with his or her Prize cards face up for the rest of the game.,"insert into trainer_cards (id,card_rule) values('base5-15','Each player plays with his or her Prize cards face up for the rest of the game.');"
base5-16,Rocket''s Sneak Attack,"Look at your opponent''s hand. If he or she has any Trainer cards, choose 1 of them. Your opponent shuffles that card into his or her deck.","insert into trainer_cards (id,card_rule) values('base5-16','Look at your opponent''s hand. If he or she has any Trainer cards, choose 1 of them. Your opponent shuffles that card into his or her deck.');"
base5-71,Here Comes Team Rocket!,Each player plays with his or her Prize cards face up for the rest of the game.,"insert into trainer_cards (id,card_rule) values('base5-71','Each player plays with his or her Prize cards face up for the rest of the game.');"
base5-72,Rocket''s Sneak Attack,"Look at your opponent''s hand. If he or she has any Trainer cards, choose 1 of them. Your opponent shuffles that card into his or her deck.","insert into trainer_cards (id,card_rule) values('base5-72','Look at your opponent''s hand. If he or she has any Trainer cards, choose 1 of them. Your opponent shuffles that card into his or her deck.');"
base5-73,The Boss''s Way,Search your deck for an Evolution card with Dark in its name. Show it to your opponent and put it into your hand. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base5-73','Search your deck for an Evolution card with Dark in its name. Show it to your opponent and put it into your hand. Shuffle your deck afterward.');"
base5-74,Challenge!,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. (A player can''t do this if his or her Bench is full.) When you both have finished, shuffle your decks and turn those cards face up.","insert into trainer_cards (id,card_rule) values('base5-74','Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. (A player can''t do this if his or her Bench is full.) When you both have finished, shuffle your decks and turn those cards face up.');"
base5-75,Digger,"Flip a coin. If tails, do 10 damage to your Active Pokémon. If heads, your opponent flips a coin. If tails, your opponent does 10 damage to his or her Active Pokémon. If heads, you flip a coin. Keep doing this until a player gets tails.","insert into trainer_cards (id,card_rule) values('base5-75','Flip a coin. If tails, do 10 damage to your Active Pokémon. If heads, your opponent flips a coin. If tails, your opponent does 10 damage to his or her Active Pokémon. If heads, you flip a coin. Keep doing this until a player gets tails.');"
base5-76,Imposter Oak''s Revenge,"Discard a card from your hand in order to play this card. Your opponent shuffles his or her hand into his or her deck, then draws 4 cards.","insert into trainer_cards (id,card_rule) values('base5-76','Discard a card from your hand in order to play this card. Your opponent shuffles his or her hand into his or her deck, then draws 4 cards.');"
base5-77,Nightly Garbage Run,"Choose up to 3 Basic Pokémon cards, Evolution cards, and/or basic Energy cards from your discard pile. Show them to your opponent and shuffle them into your deck.","insert into trainer_cards (id,card_rule) values('base5-77','Choose up to 3 Basic Pokémon cards, Evolution cards, and/or basic Energy cards from your discard pile. Show them to your opponent and shuffle them into your deck.');"
base5-78,Goop Gas Attack,All Pokémon Powers stop working until the end of your opponent''s next turn.,"insert into trainer_cards (id,card_rule) values('base5-78','All Pokémon Powers stop working until the end of your opponent''s next turn.');"
base5-79,Sleep!,"Flip a coin. If heads, the Defending Pokémon is now Asleep.","insert into trainer_cards (id,card_rule) values('base5-79','Flip a coin. If heads, the Defending Pokémon is now Asleep.');"
base6-102,Pokémon Breeder,Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can play this card only when you would be allowed to evolve that Pokémon anyway.,"insert into trainer_cards (id,card_rule) values('base6-102','Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can play this card only when you would be allowed to evolve that Pokémon anyway.');"
base6-103,Pokémon Trader,Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base6-103','Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.');"
base6-104,Scoop Up,Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.),"insert into trainer_cards (id,card_rule) values('base6-104','Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.)');"
base6-105,The Boss''s Way,Search your deck for an Evolution card with Dark in its name. Show it to your opponent and put it into your hand. Shuffle your deck afterward.,"insert into trainer_cards (id,card_rule) values('base6-105','Search your deck for an Evolution card with Dark in its name. Show it to your opponent and put it into your hand. Shuffle your deck afterward.');"
base6-106,Challenge!,"Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. (A player can''t do this if his or her Bench is full.) When you both have finished, shuffle your decks and turn those cards face up.","insert into trainer_cards (id,card_rule) values('base6-106','Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. (A player can''t do this if his or her Bench is full.) When you both have finished, shuffle your decks and turn those cards face up.');"
base6-107,Energy Retrieval,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,"insert into trainer_cards (id,card_rule) values('base6-107','Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.');"
base6-108,Bill,Draw 2 cards.,"insert into trainer_cards (id,card_rule) values('base6-108','Draw 2 cards.');"
base6-109,Mysterious Fossil,"Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can''t retreat, and can''t be affected by Special Conditions. If Mysterious Fossil is Knocked Out, it doesn''t count as a Knocked Out Pokémon. (Discard it anyway.) At any time during your turn before your attack, you may discard Mysterious Fossil from play. You can put Pokémon that evolve from Mysterious Fossil on this card.","insert into trainer_cards (id,card_rule) values('base6-109','Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can''t retreat, and can''t be affected by Special Conditions. If Mysterious Fossil is Knocked Out, it doesn''t count as a Knocked Out Pokémon. (Discard it anyway.) At any time during your turn before your attack, you may discard Mysterious Fossil from play. You can put Pokémon that evolve from Mysterious Fossil on this card.');"
base6-110,Potion,Remove up to 2 damage counters from 1 of your Pokémon.,"insert into trainer_cards (id,card_rule) values('base6-110','Remove up to 2 damage counters from 1 of your Pokémon.');"
basep-16,Computer Error,"You may draw up to 5 cards, then your opponent may draw up to 5 cards. Your turn is over now (you don''t get to attack).","insert into trainer_cards (id,card_rule) values('basep-16','You may draw up to 5 cards, then your opponent may draw up to 5 cards. Your turn is over now (you don''t get to attack).');"
basep-40,Pokémon Center,"Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.","insert into trainer_cards (id,card_rule) values('basep-40','Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.');"
basep-41,Lucky Stadium,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before attacking), that player may flip a coin. If heads, that player draws a card.","insert into trainer_cards (id,card_rule) values('basep-41','This card stays in play when you play it. Discard this card if another Stadium card comes into play., Once during each player''s turn (before attacking), that player may flip a coin. If heads, that player draws a card.');"
basep-42,Pokémon Tower,"This card stays in play when you play it. Discard this card if another Stadium card comes into play., If the effect of a Pokémon Power, attack, Energy card, or Trainer card would put a card in a discard pile into its owner''s hand, that card stays in that discard pile instead.","insert into trainer_cards (id,card_rule) values('basep-42','This card stays in play when you play it. Discard this card if another Stadium card comes into play., If the effect of a Pokémon Power, attack, Energy card, or Trainer card would put a card in a discard pile into its owner''s hand, that card stays in that discard pile instead.');"
bp-3,Professor Elm,"Shuffle your hand into your deck. Then, draw 7 cards. You can''t play any more Trainer cards this turn.","insert into trainer_cards (id,card_rule) values('bp-3','Shuffle your hand into your deck. Then, draw 7 cards. You can''t play any more Trainer cards this turn.');"
bw1-92,Energy Retrieval,"Put 2 basic Energy cards from your discard pile into your hand., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-92','Put 2 basic Energy cards from your discard pile into your hand., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-93,Energy Search,"Search your deck for a basic Energy card, reveal it, and put it into your hand. Shuffle your deck afterward., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-93','Search your deck for a basic Energy card, reveal it, and put it into your hand. Shuffle your deck afterward., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-94,Energy Switch,"Move a basic Energy from 1 of your Pokémon to another of your Pokémon., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-94','Move a basic Energy from 1 of your Pokémon to another of your Pokémon., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-95,Full Heal,"Remove all Special Conditions from your Active Pokémon., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-95','Remove all Special Conditions from your Active Pokémon., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-96,PlusPower,"During this turn, your Pokémon''s attacks do 10 more damage to the Active Pokémon (before applying Weakness and Resistance)., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-96','During this turn, your Pokémon''s attacks do 10 more damage to the Active Pokémon (before applying Weakness and Resistance)., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-97,Poké Ball,"Flip a coin. If heads, search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-97','Flip a coin. If heads, search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-98,Pokédex,"Look at the top 5 cards of your deck and put them back on top of your deck in any order., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-98','Look at the top 5 cards of your deck and put them back on top of your deck in any order., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-99,Pokémon Communication,"Reveal a Pokémon in your hand and put it on top of your deck. If you do, search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-99','Reveal a Pokémon in your hand and put it on top of your deck. If you do, search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-100,Potion,"Heal 30 damage from 1 of your Pokémon., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-100','Heal 30 damage from 1 of your Pokémon., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-101,Professor Juniper,"Discard your hand and draw 7 cards., You may play only 1 Supporter card during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-101','Discard your hand and draw 7 cards., You may play only 1 Supporter card during your turn (before your attack).');"
bw1-102,Revive,"Put a Basic Pokémon from your discard pile onto your Bench., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-102','Put a Basic Pokémon from your discard pile onto your Bench., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-103,Super Scoop Up,"Flip a coin. If heads, put 1 of your Pokémon and all cards attached to it into your hand., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-103','Flip a coin. If heads, put 1 of your Pokémon and all cards attached to it into your hand., You may play as many Item cards as you like during your turn (before your attack).');"
bw1-104,Switch,"Switch your Active Pokémon with 1 of your Benched Pokémon., You may play as many Item cards as you like during your turn (before your attack).","insert into trainer_cards (id,card_rule) values('bw1-104','Switch your Active Pokémon with 1 of your Benched Pokémon., You may play as many Item cards as you like during your turn (before your attack).');"
