id,name,nationalPokedexNumbers,level,hp,type1,type2,evolvesFrom,weaknessColor,weaknessModifier
base2-18,Electrode,[101],42,90,Lightning,,Voltorb,Fighting,×2
base2-19,Flareon,[136],28,70,Fire,,Eevee,Water,×2
base2-20,Jolteon,[135],29,70,Lightning,,Eevee,Fighting,×2
base2-21,Kangaskhan,[115],40,90,Colorless,,,Fighting,×2
base2-22,Mr. Mime,[122],28,40,Psychic,,Mime Jr.,Psychic,×2
base2-23,Nidoqueen,[31],43,90,Grass,,Nidorina,Psychic,×2
base2-24,Pidgeot,[18],40,80,Colorless,,Pidgeotto,Lightning,×2
base2-25,Pinsir,[127],24,60,Grass,,,Fire,×2
base2-26,Scyther,[123],25,70,Grass,,,Fire,×2
base2-27,Snorlax,[143],20,90,Colorless,,Munchlax,Fighting,×2
base2-28,Vaporeon,[134],42,80,Water,,Eevee,Lightning,×2
base2-29,Venomoth,[49],28,70,Grass,,Venonat,Fire,×2
base2-30,Victreebel,[71],42,80,Grass,,Weepinbell,Fire,×2
base2-31,Vileplume,[45],35,80,Grass,,Gloom,Fire,×2
base2-32,Wigglytuff,[40],36,80,Colorless,,Jigglypuff,Fighting,×2
base2-33,Butterfree,[12],28,70,Grass,,Metapod,Fire,×2
base2-34,Dodrio,[85],28,70,Colorless,,Doduo,Lightning,×2
base2-35,Exeggutor,[103],35,80,Grass,,Exeggcute,Fire,×2
base2-36,Fearow,[22],27,70,Colorless,,Spearow,Lightning,×2
base2-37,Gloom,[44],35,60,Grass,,Oddish,Fire,×2
base2-38,Lickitung,[108],10,90,Colorless,,,Fighting,×2
base2-39,Marowak,[105],26,60,Fighting,,Cubone,Grass,×2
base2-40,Nidorina,[30],24,70,Grass,,Nidoran ♀,Psychic,×2
base2-41,Parasect,[47],28,60,Grass,,Paras,Fire,×2
base2-42,Persian,[53],25,70,Colorless,,Meowth,Fighting,×2
base2-43,Primeape,[57],45,70,Fighting,,Mankey,Psychic,×2
base2-44,Rapidash,[78],33,70,Fire,,Ponyta,Water,×2
base2-45,Rhydon,[112],48,100,Fighting,,Rhyhorn,Grass,×2
base2-46,Seaking,[119],28,70,Water,,Goldeen,Lightning,×2
base2-47,Tauros,[128],24,60,Colorless,,,Fighting,×2
base2-48,Weepinbell,[70],28,70,Grass,,Bellsprout,Fire,×2
base2-49,Bellsprout,[69],11,40,Grass,,,Fire,×2
base2-50,Cubone,[104],13,40,Fighting,,,Grass,×2
base2-51,Eevee,[133],12,50,Colorless,,,Fighting,×2
base2-52,Exeggcute,[102],14,50,Grass,,,Fire,×2
base2-53,Goldeen,[118],12,40,Water,,,Lightning,×2
base2-54,Jigglypuff,[39],14,60,Colorless,,,Fighting,×2
base2-55,Mankey,[56],7,30,Fighting,,,Psychic,×2
base2-56,Meowth,[52],15,50,Colorless,,,Fighting,×2
base2-57,Nidoran ♀,[29],13,60,Grass,,,Psychic,×2
base2-58,Oddish,[43],8,50,Grass,,,Fire,×2
base2-59,Paras,[46],8,40,Grass,,,Fire,×2
base2-60,Pikachu,[25],14,50,Lightning,,Pichu,Fighting,×2
base2-61,Rhyhorn,[111],18,70,Fighting,,,Grass,×2
base2-62,Spearow,[21],13,50,Colorless,,,Lightning,×2
base2-63,Venonat,[48],12,40,Grass,,,Fire,×2
base3-1,Aerodactyl,[142],28,60,Fighting,,Mysterious Fossil,Grass,×2
base3-2,Articuno,[144],35,70,Water,,,,
base3-3,Ditto,[132],20,50,Colorless,,,Fighting,×2
base3-4,Dragonite,[149],45,100,Colorless,,Dragonair,,
base3-5,Gengar,[94],38,80,Psychic,,Haunter,,
base3-6,Haunter,[93],17,50,Psychic,,Gastly,,
base3-7,Hitmonlee,[106],30,60,Fighting,,,Psychic,×2
base3-8,Hypno,[97],36,90,Psychic,,Drowzee,Psychic,×2
base3-9,Kabutops,[141],30,60,Fighting,,Kabuto,Grass,×2
base3-10,Lapras,[131],12,80,Water,,,Lightning,×2
base3-11,Magneton,[82],35,80,Lightning,,Magnemite,Fighting,×2
base3-12,Moltres,[146],35,70,Fire,,,,
base3-13,Muk,[89],34,70,Grass,,Grimer,Psychic,×2
base3-14,Raichu,[26],45,90,Lightning,,Pikachu,Fighting,×2
base3-15,Zapdos,[145],40,80,Lightning,,,,
base3-16,Aerodactyl,[142],28,60,Fighting,,Mysterious Fossil,Grass,×2
base3-17,Articuno,[144],35,70,Water,,,,
base3-18,Ditto,[132],20,50,Colorless,,,Fighting,×2
base3-19,Dragonite,[149],45,100,Colorless,,Dragonair,,
base3-20,Gengar,[94],38,80,Psychic,,Haunter,,
base3-21,Haunter,[93],17,50,Psychic,,Gastly,,
base3-22,Hitmonlee,[106],30,60,Fighting,,,Psychic,×2
base3-23,Hypno,[97],36,90,Psychic,,Drowzee,Psychic,×2
base3-24,Kabutops,[141],30,60,Fighting,,Kabuto,Grass,×2
base3-25,Lapras,[131],31,80,Water,,,Lightning,×2
base3-26,Magneton,[82],35,80,Lightning,,Magnemite,Fighting,×2
base3-27,Moltres,[146],35,70,Fire,,,,
base3-28,Muk,[89],34,70,Grass,,Grimer,Psychic,×2
base3-29,Raichu,[26],45,90,Lightning,,Pikachu,Fighting,×2
base3-30,Zapdos,[145],40,80,Lightning,,,,
base3-31,Arbok,[24],27,60,Grass,,Ekans,Psychic,×2
base3-32,Cloyster,[91],25,50,Water,,Shellder,Lightning,×2
base3-33,Gastly,[92],17,50,Psychic,,,,
base3-34,Golbat,[42],29,60,Grass,,Zubat,Psychic,×2
base3-35,Golduck,[55],27,70,Water,,Psyduck,Lightning,×2
base3-36,Golem,[76],36,80,Fighting,,Graveler,Grass,×2
base3-37,Graveler,[75],29,60,Fighting,,Geodude,Grass,×2
base3-38,Kingler,[99],27,60,Water,,Krabby,Lightning,×2
base3-39,Magmar,[126],31,70,Fire,,Magby,Water,×2
base3-40,Omastar,[139],32,70,Water,,Omanyte,Grass,×2
base3-41,Sandslash,[28],33,70,Fighting,,Sandshrew,Grass,×2
base3-42,Seadra,[117],23,60,Water,,Horsea,Lightning,×2
base3-43,Slowbro,[80],26,60,Psychic,,Slowpoke,Psychic,×2
base3-44,Tentacruel,[73],21,60,Water,,Tentacool,Lightning,×2
base3-45,Weezing,[110],27,60,Grass,,Koffing,Psychic,×2
base3-46,Ekans,[23],10,40,Grass,,,Psychic,×2
base3-47,Geodude,[74],16,50,Fighting,,,Grass,×2
base3-48,Grimer,[88],17,50,Grass,,,Psychic,×2
base3-49,Horsea,[116],19,40,Water,,,Lightning,×2
base3-50,Kabuto,[140],9,30,Fighting,,Mysterious Fossil,Grass,×2
base3-51,Krabby,[98],20,50,Water,,,Lightning,×2
base3-52,Omanyte,[138],19,40,Water,,Mysterious Fossil,Grass,×2
base3-53,Psyduck,[54],15,50,Water,,,Lightning,×2
base3-54,Shellder,[90],8,30,Water,,,Lightning,×2
base3-55,Slowpoke,[79],18,50,Psychic,,,Psychic,×2
base3-56,Tentacool,[72],10,30,Water,,,Lightning,×2
base3-57,Zubat,[41],10,40,Grass,,,Psychic,×2
base4-1,Alakazam,[65],42,80,Psychic,,Kadabra,Psychic,×2
base4-2,Blastoise,[9],52,100,Water,,Wartortle,Lightning,×2
base4-3,Chansey,[113],55,120,Colorless,,,Fighting,×2
base4-4,Charizard,[6],76,120,Fire,,Charmeleon,Water,×2
base4-5,Clefable,[36],34,70,Colorless,,Clefairy,Fighting,×2
base4-6,Clefairy,[35],14,40,Colorless,,,Fighting,×2
base4-7,Gyarados,[130],41,100,Water,,Magikarp,Grass,×2
base4-8,Hitmonchan,[107],33,70,Fighting,,,Psychic,×2
base4-9,Magneton,[82],28,60,Lightning,,Magnemite,Fighting,×2
base4-10,Mewtwo,[150],53,60,Psychic,,,Psychic,×2
base4-11,Nidoking,[34],23,90,Grass,,Nidorino,Psychic,×2
base4-12,Nidoqueen,[31],43,90,Grass,,Nidorina,Psychic,×2
base4-13,Ninetales,[38],32,80,Fire,,Vulpix,Water,×2
base4-14,Pidgeot,[18],40,80,Colorless,,Pidgeotto,Lightning,×2
base4-15,Poliwrath,[62],48,90,Water,,Poliwhirl,Grass,×2
base4-16,Raichu,[26],40,80,Lightning,,Pikachu,Fighting,×2
base4-17,Scyther,[123],25,70,Grass,,,Fire,×2
base4-18,Venusaur,[3],67,100,Grass,,Ivysaur,Fire,×2
base4-19,Wigglytuff,[40],36,80,Colorless,,Jigglypuff,Fighting,×2
base4-20,Zapdos,[145],64,90,Lightning,,,,
base4-21,Beedrill,[15],32,80,Grass,,Kakuna,Fire,×2
base4-22,Dragonair,[148],33,80,Colorless,,Dratini,,
base4-23,Dugtrio,[51],36,70,Fighting,,Diglett,Grass,×2
base4-24,Electabuzz,[125],35,70,Lightning,,,Fighting,×2
base4-25,Electrode,[101],40,80,Lightning,,Voltorb,Fighting,×2
base4-26,Kangaskhan,[115],40,90,Colorless,,,Fighting,×2
base4-27,Mr. Mime,[122],28,40,Psychic,,Mime Jr.,Psychic,×2
base4-28,Pidgeotto,[17],36,60,Colorless,,Pidgey,Lightning,×2
base4-29,Pinsir,[127],24,60,Grass,,,Fire,×2
base4-30,Snorlax,[143],20,90,Colorless,,Munchlax,Fighting,×2
base4-31,Venomoth,[49],28,70,Grass,,Venonat,Fire,×2
base4-32,Victreebel,[71],42,80,Grass,,Weepinbell,Fire,×2
base4-33,Arcanine,[59],45,100,Fire,,Growlithe,Water,×2
base4-34,Butterfree,[12],28,70,Grass,,Metapod,Fire,×2
base4-35,Charmeleon,[5],32,80,Fire,,Charmander,Water,×2
base4-36,Dewgong,[87],42,80,Water,,Seel,Lightning,×2
base4-37,Dodrio,[85],28,70,Colorless,,Doduo,Lightning,×2
base4-38,Dratini,[147],10,40,Colorless,,,,
base4-39,Exeggutor,[103],35,80,Grass,,Exeggcute,Fire,×2
base4-40,Farfetch'd,[83],20,50,Colorless,,,Lightning,×2
base4-41,Fearow,[22],27,70,Colorless,,Spearow,Lightning,×2
base4-42,Growlithe,[58],18,60,Fire,,,Water,×2
base4-43,Haunter,[93],22,60,Psychic,,Gastly,,
base4-44,Ivysaur,[2],20,60,Grass,,Bulbasaur,Fire,×2
base4-45,Jynx,[124],23,70,Psychic,,,Psychic,×2
base4-46,Kadabra,[64],38,60,Psychic,,Abra,Psychic,×2
base4-47,Kakuna,[14],23,80,Grass,,Weedle,Fire,×2
base4-48,Lickitung,[108],10,90,Colorless,,,Fighting,×2
base4-49,Machoke,[67],40,80,Fighting,,Machop,Psychic,×2
base4-50,Magikarp,[129],8,30,Water,,,Lightning,×2
base4-51,Magmar,[126],24,50,Fire,,,Water,×2
base4-52,Marowak,[105],26,60,Fighting,,Cubone,Grass,×2
base4-53,Nidorina,[30],24,70,Grass,,Nidoran ♀,Psychic,×2
base4-54,Nidorino,[33],25,60,Grass,,Nidoran ♂,Psychic,×2
base4-55,Parasect,[47],28,60,Grass,,Paras,Fire,×2
base4-56,Persian,[53],25,70,Colorless,,Meowth,Fighting,×2
base4-57,Poliwhirl,[61],28,60,Water,,Poliwag,Grass,×2
base4-58,Raticate,[20],41,60,Colorless,,Rattata,Fighting,×2
base4-59,Rhydon,[112],48,100,Fighting,,Rhyhorn,Grass,×2
base4-60,Seaking,[119],28,70,Water,,Goldeen,Lightning,×2
base4-61,Seel,[86],12,60,Water,,,Lightning,×2
base4-62,Tauros,[128],24,60,Colorless,,,Fighting,×2
base4-63,Wartortle,[8],22,70,Water,,Squirtle,Lightning,×2
base4-64,Weepinbell,[70],28,70,Grass,,Bellsprout,Fire,×2
base4-65,Abra,[63],10,30,Psychic,,,Psychic,×2
base4-66,Bellsprout,[69],11,40,Grass,,,Fire,×2
base4-67,Bulbasaur,[1],13,40,Grass,,,Fire,×2
base4-68,Caterpie,[10],13,40,Grass,,,Fire,×2
base4-69,Charmander,[4],10,50,Fire,,,Water,×2
base4-70,Cubone,[104],13,40,Fighting,,,Grass,×2
base4-71,Diglett,[50],8,30,Fighting,,,Grass,×2
base4-72,Doduo,[84],10,50,Colorless,,,Lightning,×2
base4-73,Drowzee,[96],10,50,Psychic,,,Psychic,×2
base4-74,Exeggcute,[102],14,50,Grass,,,Fire,×2
base4-75,Gastly,[92],8,30,Psychic,,,,
base4-76,Goldeen,[118],12,40,Water,,,Lightning,×2
base4-77,Jigglypuff,[39],14,60,Colorless,,,Fighting,×2
base4-78,Machop,[66],20,50,Fighting,,,Psychic,×2
base4-79,Magnemite,[81],13,40,Lightning,,,Fighting,×2
base4-80,Meowth,[52],15,50,Colorless,,,Fighting,×2
base4-81,Metapod,[11],21,70,Grass,,Caterpie,Fire,×2
base4-82,Nidoran ♀,[29],13,60,Grass,,,Psychic,×2
base4-83,Nidoran ♂,[32],20,40,Grass,,,Psychic,×2
base4-84,Onix,[95],12,90,Fighting,,,Grass,×2
base4-85,Paras,[46],8,40,Grass,,,Fire,×2
base4-86,Pidgey,[16],8,40,Colorless,,,Lightning,×2
base4-87,Pikachu,[25],12,40,Lightning,,,Fighting,×2
base4-88,Poliwag,[60],13,40,Water,,,Grass,×2
base4-89,Rattata,[19],9,30,Colorless,,,Fighting,×2
base4-90,Rhyhorn,[111],18,70,Fighting,,,Grass,×2
base4-91,Sandshrew,[27],12,40,Fighting,,,Grass,×2
base4-92,Spearow,[21],13,50,Colorless,,,Lightning,×2
base4-93,Squirtle,[7],8,40,Water,,,Lightning,×2
base4-94,Starmie,[121],28,60,Water,,Staryu,Lightning,×2
base4-95,Staryu,[120],15,40,Water,,,Lightning,×2
base4-96,Tangela,[114],8,50,Grass,,,Fire,×2
base4-97,Venonat,[48],12,40,Grass,,,Fire,×2
base4-98,Voltorb,[100],10,40,Lightning,,,Fighting,×2
base4-99,Vulpix,[37],11,50,Fire,,,Water,×2
base4-100,Weedle,[13],12,40,Grass,,,Fire,×2
base5-1,Dark Alakazam,[65],30,60,Psychic,,Dark Kadabra,Psychic,×2
base5-2,Dark Arbok,[24],25,60,Grass,,Ekans,Psychic,×2
base5-3,Dark Blastoise,[9],28,70,Water,,Dark Wartortle,Lightning,×2
base5-4,Dark Charizard,[6],38,80,Fire,,Dark Charmeleon,Water,×2
base5-5,Dark Dragonite,[149],33,70,Colorless,,Dark Dragonair,,
base5-6,Dark Dugtrio,[51],18,50,Fighting,,Diglett,Grass,×2
base5-7,Dark Golbat,[42],25,50,Grass,,Zubat,Psychic,×2
base5-8,Dark Gyarados,[130],31,70,Water,,Magikarp,Grass,×2
base5-9,Dark Hypno,[97],26,60,Psychic,,Drowzee,Psychic,×2
base5-10,Dark Machamp,[68],30,70,Fighting,,Dark Machoke,Psychic,×2
base5-11,Dark Magneton,[82],26,60,Lightning,,Magnemite,Fighting,×2
base5-12,Dark Slowbro,[80],27,60,Psychic,,Slowpoke,Psychic,×2
base5-13,Dark Vileplume,[45],29,60,Grass,,Dark Gloom,Fire,×2
base5-14,Dark Weezing,[110],24,60,Grass,,Koffing,Psychic,×2
base5-18,Dark Alakazam,[65],30,60,Psychic,,Dark Kadabra,Psychic,×2
base5-19,Dark Arbok,[24],25,60,Grass,,Ekans,Psychic,×2
base5-20,Dark Blastoise,[9],28,70,Water,,Dark Wartortle,Lightning,×2
base5-21,Dark Charizard,[6],38,80,Fire,,Dark Charmeleon,Water,×2
base5-22,Dark Dragonite,[149],33,70,Colorless,,Dark Dragonair,,
base5-23,Dark Dugtrio,[51],18,50,Fighting,,Diglett,Grass,×2
base5-24,Dark Golbat,[42],25,50,Grass,,Zubat,Psychic,×2
base5-25,Dark Gyarados,[130],31,70,Water,,Magikarp,Grass,×2
base5-26,Dark Hypno,[97],26,60,Psychic,,Drowzee,Psychic,×2
base5-27,Dark Machamp,[68],30,70,Fighting,,Dark Machoke,Psychic,×2
base5-28,Dark Magneton,[82],26,60,Lightning,,Magnemite,Fighting,×2
base5-29,Dark Slowbro,[80],27,60,Psychic,,Slowpoke,Psychic,×2
base5-30,Dark Vileplume,[45],29,60,Grass,,Dark Gloom,Fighting,×2
base5-31,Dark Weezing,[110],24,60,Grass,,Koffing,Psychic,×2
base5-32,Dark Charmeleon,[5],23,50,Fire,,Charmander,Water,×2
base5-33,Dark Dragonair,[148],28,60,Colorless,,Dratini,,
base5-34,Dark Electrode,[101],24,60,Lightning,,Voltorb,Fighting,×2
base5-35,Dark Flareon,[136],23,50,Fire,,Eevee,Water,×2
base5-36,Dark Gloom,[44],21,50,Grass,,Oddish,Fire,×2
base5-37,Dark Golduck,[55],23,60,Water,,Psyduck,Lightning,×2
base5-38,Dark Jolteon,[135],23,50,Lightning,,Eevee,Fighting,×2
base5-39,Dark Kadabra,[64],24,50,Psychic,,Abra,Psychic,×2
base5-40,Dark Machoke,[67],28,60,Fighting,,Machop,Psychic,×2
base5-41,Dark Muk,[89],25,60,Grass,,Grimer,Psychic,×2
base5-42,Dark Persian,[53],28,60,Colorless,,Meowth,Fighting,×2
base5-43,Dark Primeape,[57],23,60,Fighting,,Mankey,Psychic,×2
base5-44,Dark Rapidash,[78],24,60,Fire,,Ponyta,Water,×2
base5-45,Dark Vaporeon,[134],28,60,Water,,Eevee,Lightning,×2
base5-46,Dark Wartortle,[8],21,60,Water,,Squirtle,Lightning,×2
base5-47,Magikarp,[129],6,30,Water,,,Lightning,×2
base5-48,Porygon,[137],26,40,Colorless,,,Fighting,×2
base5-49,Abra,[63],14,40,Psychic,,,Psychic,×2
base5-50,Charmander,[4],9,40,Fire,,,Water,×2
base5-51,Dark Raticate,[20],25,50,Colorless,,Rattata,Fighting,×2
base5-52,Diglett,[50],15,40,Fighting,,,Grass,×2
base5-53,Dratini,[147],12,40,Colorless,,,,
base5-54,Drowzee,[96],10,50,Psychic,,,Psychic,×2
base5-55,Eevee,[133],9,40,Colorless,,,Fighting,×2
base5-56,Ekans,[23],15,50,Grass,,,Psychic,×2
base5-57,Grimer,[88],10,40,Grass,,,Psychic,×2
base5-58,Koffing,[109],12,40,Grass,,,Psychic,×2
base5-59,Machop,[66],24,50,Fighting,,,Psychic,×2
base5-60,Magnemite,[81],12,40,Lightning,,,Fighting,×2
base5-61,Mankey,[56],14,40,Fighting,,,Psychic,×2
base5-62,Meowth,[52],10,40,Colorless,,,Fighting,×2
base5-63,Oddish,[43],21,50,Grass,,,Fire,×2
base5-64,Ponyta,[77],15,50,Fire,,,Water,×2
base5-65,Psyduck,[54],16,50,Water,,,Lightning,×2
base5-66,Rattata,[19],12,40,Colorless,,,Fighting,×2
base5-67,Slowpoke,[79],16,50,Psychic,,,Psychic,×2
base5-68,Squirtle,[7],16,50,Water,,,Lightning,×2
base5-69,Voltorb,[100],13,40,Lightning,,,Fighting,×2
base5-70,Zubat,[41],9,40,Grass,,,Psychic,×2
base5-83,Dark Raichu,[26],31,70,Lightning,,Pikachu,Fighting,×2
base6-1,Alakazam,[65],42,80,Psychic,,Kadabra,Psychic,×2
base6-2,Articuno,[144],35,70,Water,,,,
base6-3,Charizard,[6],76,120,Fire,,Charmeleon,Water,×2
base6-4,Dark Blastoise,[9],28,70,Water,,Dark Wartortle,Lightning,×2
base6-5,Dark Dragonite,[149],33,70,Colorless,,Dark Dragonair,,
base6-6,Dark Persian,[53],28,60,Colorless,,Meowth,Fighting,×2
base6-7,Dark Raichu,[26],31,70,Lightning,,Pikachu,Fighting,×2
base6-8,Dark Slowbro,[80],27,60,Psychic,,Slowpoke,Psychic,×2
base6-9,Dark Vaporeon,[134],28,60,Water,,Eevee,Lightning,×2
base6-10,Flareon,[136],28,70,Fire,,Eevee,Water,×2
base6-11,Gengar,[94],38,80,Psychic,,Haunter,,
base6-12,Gyarados,[130],41,100,Water,,Magikarp,Grass,×2
base6-13,Hitmonlee,[106],30,60,Fighting,,,Psychic,×2
base6-14,Jolteon,[135],29,70,Lightning,,Eevee,Fighting,×2
base6-15,Machamp,[68],67,100,Fighting,,Machoke,Psychic,×2
base6-16,Muk,[89],34,70,Grass,,Grimer,Psychic,×2
base6-17,Ninetales,[38],32,80,Fire,,Vulpix,Water,×2
base6-18,Venusaur,[3],67,100,Grass,,Ivysaur,Fire,×2
base6-19,Zapdos,[145],64,90,Lightning,,,,
base6-20,Beedrill,[15],32,80,Grass,,Kakuna,Fire,×2
base6-21,Butterfree,[12],28,70,Grass,,Metapod,Fire,×2
base6-22,Electrode,[101],42,90,Lightning,,Voltorb,Fighting,×2
base6-23,Exeggutor,[103],35,80,Grass,,Exeggcute,Fire,×2
base6-24,Golem,[76],36,80,Fighting,,Graveler,Grass,×2
base6-25,Hypno,[97],36,90,Psychic,,Drowzee,Psychic,×2
base6-26,Jynx,[124],23,70,Psychic,,,Psychic,×2
base6-27,Kabutops,[141],30,60,Fighting,,Kabuto,Grass,×2
base6-28,Magneton,[82],35,80,Lightning,,Magnemite,Fighting,×2
base6-29,Mewtwo,[150],13,60,Psychic,,,Psychic,×2
base6-30,Moltres,[146],35,70,Fire,,,,
base6-31,Nidoking,[34],48,90,Grass,,Nidorino,Psychic,×2
base6-32,Nidoqueen,[31],43,90,Grass,,Nidorina,Psychic,×2
base6-33,Pidgeot,[18],40,80,Colorless,,Pidgeotto,Lightning,×2
base6-34,Pidgeotto,[17],36,60,Colorless,,Pidgey,Lightning,×2
base6-35,Rhydon,[112],48,100,Fighting,,Rhyhorn,Grass,×2
base6-36,Arcanine,[59],45,100,Fire,,Growlithe,Water,×2
base6-37,Charmeleon,[5],32,80,Fire,,Charmander,Water,×2
base6-38,Dark Dragonair,[148],28,60,Colorless,,Dratini,,
base6-39,Dark Wartortle,[8],21,60,Water,,Squirtle,Lightning,×2
base6-40,Dewgong,[87],42,80,Water,,Seel,Lightning,×2
base6-41,Dodrio,[85],28,70,Colorless,,Doduo,Lightning,×2
base6-42,Fearow,[22],27,70,Colorless,,Spearow,Lightning,×2
base6-43,Golduck,[55],27,70,Water,,Psyduck,Lightning,×2
base6-44,Graveler,[75],29,60,Fighting,,Geodude,Grass,×2
