id,name,supertype,subtype,rules,number,artist,rarity,legalities_unlimited,legalities_expanded,images_small,images_large
base1-13,Poliwrath,Pokémon,Stage 2,,13,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/13.png,https://images.pokemontcg.io/base1/13_hires.png
base1-14,Raichu,Pokémon,Stage 1,,14,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/14.png,https://images.pokemontcg.io/base1/14_hires.png
base1-15,Venusaur,Pokémon,Stage 2,,15,Mitsuhiro Arita,Rare Holo,Legal,,https://images.pokemontcg.io/base1/15.png,https://images.pokemontcg.io/base1/15_hires.png
base1-16,Zapdos,Pokémon,Basic,,16,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base1/16.png,https://images.pokemontcg.io/base1/16_hires.png
base1-17,Beedrill,Pokémon,Stage 2,,17,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base1/17.png,https://images.pokemontcg.io/base1/17_hires.png
base1-18,Dragonair,Pokémon,Stage 1,,18,Mitsuhiro Arita,Rare,Legal,,https://images.pokemontcg.io/base1/18.png,https://images.pokemontcg.io/base1/18_hires.png
base1-19,Dugtrio,Pokémon,Stage 1,,19,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/19.png,https://images.pokemontcg.io/base1/19_hires.png
base1-20,Electabuzz,Pokémon,Basic,,20,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base1/20.png,https://images.pokemontcg.io/base1/20_hires.png
base1-21,Electrode,Pokémon,Stage 1,,21,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/21.png,https://images.pokemontcg.io/base1/21_hires.png
base1-22,Pidgeotto,Pokémon,Stage 1,,22,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base1/22.png,https://images.pokemontcg.io/base1/22_hires.png
base1-23,Arcanine,Pokémon,Stage 1,,23,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/23.png,https://images.pokemontcg.io/base1/23_hires.png
base1-24,Charmeleon,Pokémon,Stage 1,,24,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base1/24.png,https://images.pokemontcg.io/base1/24_hires.png
base1-25,Dewgong,Pokémon,Stage 1,,25,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base1/25.png,https://images.pokemontcg.io/base1/25_hires.png
base1-26,Dratini,Pokémon,Basic,,26,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/26.png,https://images.pokemontcg.io/base1/26_hires.png
base1-27,Farfetch'd,Pokémon,Basic,,27,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/27.png,https://images.pokemontcg.io/base1/27_hires.png
base1-28,Growlithe,Pokémon,Basic,,28,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/28.png,https://images.pokemontcg.io/base1/28_hires.png
base1-29,Haunter,Pokémon,Stage 1,,29,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/29.png,https://images.pokemontcg.io/base1/29_hires.png
base1-30,Ivysaur,Pokémon,Stage 1,,30,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/30.png,https://images.pokemontcg.io/base1/30_hires.png
base1-31,Jynx,Pokémon,Basic,,31,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/31.png,https://images.pokemontcg.io/base1/31_hires.png
base1-32,Kadabra,Pokémon,Stage 1,,32,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/32.png,https://images.pokemontcg.io/base1/32_hires.png
base1-33,Kakuna,Pokémon,Stage 1,,33,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/33.png,https://images.pokemontcg.io/base1/33_hires.png
base1-34,Machoke,Pokémon,Stage 1,,34,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/34.png,https://images.pokemontcg.io/base1/34_hires.png
base1-35,Magikarp,Pokémon,Basic,,35,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base1/35.png,https://images.pokemontcg.io/base1/35_hires.png
base1-36,Magmar,Pokémon,Basic,,36,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/36.png,https://images.pokemontcg.io/base1/36_hires.png
base1-37,Nidorino,Pokémon,Stage 1,,37,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base1/37.png,https://images.pokemontcg.io/base1/37_hires.png
base1-38,Poliwhirl,Pokémon,Stage 1,,38,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/38.png,https://images.pokemontcg.io/base1/38_hires.png
base1-39,Porygon,Pokémon,Basic,,39,Tomoaki Imakuni,Uncommon,Legal,,https://images.pokemontcg.io/base1/39.png,https://images.pokemontcg.io/base1/39_hires.png
base1-40,Raticate,Pokémon,Stage 1,,40,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/40.png,https://images.pokemontcg.io/base1/40_hires.png
base1-41,Seel,Pokémon,Basic,,41,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/41.png,https://images.pokemontcg.io/base1/41_hires.png
base1-42,Wartortle,Pokémon,Stage 1,,42,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/42.png,https://images.pokemontcg.io/base1/42_hires.png
base1-43,Abra,Pokémon,Basic,,43,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/43.png,https://images.pokemontcg.io/base1/43_hires.png
base1-44,Bulbasaur,Pokémon,Basic,,44,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/44.png,https://images.pokemontcg.io/base1/44_hires.png
base1-45,Caterpie,Pokémon,Basic,,45,Ken Sugimori,Common,Legal,Legal,https://images.pokemontcg.io/base1/45.png,https://images.pokemontcg.io/base1/45_hires.png
base1-46,Charmander,Pokémon,Basic,,46,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/46.png,https://images.pokemontcg.io/base1/46_hires.png
base1-47,Diglett,Pokémon,Basic,,47,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/47.png,https://images.pokemontcg.io/base1/47_hires.png
base1-48,Doduo,Pokémon,Basic,,48,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/48.png,https://images.pokemontcg.io/base1/48_hires.png
base1-49,Drowzee,Pokémon,Basic,,49,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/49.png,https://images.pokemontcg.io/base1/49_hires.png
base1-50,Gastly,Pokémon,Basic,,50,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/50.png,https://images.pokemontcg.io/base1/50_hires.png
base1-51,Koffing,Pokémon,Basic,,51,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/51.png,https://images.pokemontcg.io/base1/51_hires.png
base1-52,Machop,Pokémon,Basic,,52,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/52.png,https://images.pokemontcg.io/base1/52_hires.png
base1-53,Magnemite,Pokémon,Basic,,53,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/53.png,https://images.pokemontcg.io/base1/53_hires.png
base1-54,Metapod,Pokémon,Stage 1,,54,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/54.png,https://images.pokemontcg.io/base1/54_hires.png
base1-55,Nidoran ♂,Pokémon,Basic,,55,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/55.png,https://images.pokemontcg.io/base1/55_hires.png
base1-56,Onix,Pokémon,Basic,,56,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/56.png,https://images.pokemontcg.io/base1/56_hires.png
base1-57,Pidgey,Pokémon,Basic,,57,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/57.png,https://images.pokemontcg.io/base1/57_hires.png
base1-58,Pikachu,Pokémon,Basic,,58,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/58.png,https://images.pokemontcg.io/base1/58_hires.png
base1-59,Poliwag,Pokémon,Basic,,59,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/59.png,https://images.pokemontcg.io/base1/59_hires.png
base1-60,Ponyta,Pokémon,Basic,,60,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/60.png,https://images.pokemontcg.io/base1/60_hires.png
base1-61,Rattata,Pokémon,Basic,,61,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/61.png,https://images.pokemontcg.io/base1/61_hires.png
base1-62,Sandshrew,Pokémon,Basic,,62,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/62.png,https://images.pokemontcg.io/base1/62_hires.png
base1-63,Squirtle,Pokémon,Basic,,63,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/63.png,https://images.pokemontcg.io/base1/63_hires.png
base1-64,Starmie,Pokémon,Stage 1,,64,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/64.png,https://images.pokemontcg.io/base1/64_hires.png
base1-65,Staryu,Pokémon,Basic,,65,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/65.png,https://images.pokemontcg.io/base1/65_hires.png
base1-66,Tangela,Pokémon,Basic,,66,Mitsuhiro Arita,Common,Legal,,https://images.pokemontcg.io/base1/66.png,https://images.pokemontcg.io/base1/66_hires.png
base1-67,Voltorb,Pokémon,Basic,,67,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/67.png,https://images.pokemontcg.io/base1/67_hires.png
base1-68,Vulpix,Pokémon,Basic,,68,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/68.png,https://images.pokemontcg.io/base1/68_hires.png
base1-69,Weedle,Pokémon,Basic,,69,Mitsuhiro Arita,Common,Legal,Legal,https://images.pokemontcg.io/base1/69.png,https://images.pokemontcg.io/base1/69_hires.png
base1-70,Clefairy Doll,Trainer,,"Play Clefairy Doll as if it were a Basic Pokémon. While in play, Clefairy Doll counts a a Pokémon (instead of a Trainer card). Clefairy Doll has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn't count as a Knocked Out Pokémon. At any time during your turn before your attack, you may discard Clefairy Doll.",70,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/70.png,https://images.pokemontcg.io/base1/70_hires.png
base1-71,Computer Search,Trainer,,Discard 2 of the other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.,71,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/71.png,https://images.pokemontcg.io/base1/71_hires.png
base1-72,Devolution Spray,Trainer,,"Choose 1 of your own Pokémon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokémon. That Pokémon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).",72,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/72.png,https://images.pokemontcg.io/base1/72_hires.png
base1-73,Impostor Professor Oak,Trainer,,"Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.",73,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base1/73.png,https://images.pokemontcg.io/base1/73_hires.png
base1-74,Item Finder,Trainer,,Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.,74,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/74.png,https://images.pokemontcg.io/base1/74_hires.png
base1-75,Lass,Trainer,,"You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.",75,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base1/75.png,https://images.pokemontcg.io/base1/75_hires.png
base1-76,Pokémon Breeder,Trainer,,Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.,76,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base1/76.png,https://images.pokemontcg.io/base1/76_hires.png
base1-77,Pokémon Trader,Trainer,,Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.,77,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base1/77.png,https://images.pokemontcg.io/base1/77_hires.png
base1-78,Scoop Up,Trainer,,Choose 1 of your Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.),78,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/78.png,https://images.pokemontcg.io/base1/78_hires.png
base1-79,Super Energy Removal,Trainer,,Discard 1 Energy card attached to 1 of your Pokémon in order to choose 1 of your opponent's Pokémon and up to 2 Energy cards attached to it. Discard those Energy cards.,79,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base1/79.png,https://images.pokemontcg.io/base1/79_hires.png
base1-80,Defender,Trainer,,"Attach Defender to 1 of your Pokémon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).",80,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/80.png,https://images.pokemontcg.io/base1/80_hires.png
base1-81,Energy Retrieval,Trainer,,Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.,81,Keiji Kinebuchi,Uncommon,Legal,Legal,https://images.pokemontcg.io/base1/81.png,https://images.pokemontcg.io/base1/81_hires.png
base1-82,Full Heal,Trainer,,"Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.",82,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/82.png,https://images.pokemontcg.io/base1/82_hires.png
base1-83,Maintenance,Trainer,,Shuffle 2 of the other cards from your hand into your deck in order to draw a card.,83,Keiji Kinebuchi,Uncommon,Legal,Legal,https://images.pokemontcg.io/base1/83.png,https://images.pokemontcg.io/base1/83_hires.png
base1-84,PlusPower,Trainer,,"Attach PlusPower to your Active Pokémon. At the end of your turn, discard PlusPower. If this Pokémon's attack does damage to the Defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.",84,Keiji Kinebuchi,Uncommon,Legal,Legal,https://images.pokemontcg.io/base1/84.png,https://images.pokemontcg.io/base1/84_hires.png
base1-85,Pokémon Center,Trainer,,"Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.",85,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/85.png,https://images.pokemontcg.io/base1/85_hires.png
base1-86,Pokémon Flute,Trainer,,Choose 1 Basic Pokémon card from your opponent's discard pile and put it onto his or her Bench. (You can't play Pokémon Flute if your opponent's Bench is full.),86,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/86.png,https://images.pokemontcg.io/base1/86_hires.png
base1-87,Pokédex,Trainer,,Look at up to 5 cards from the top of your deck and rearrange them as you like.,87,Keiji Kinebuchi,Uncommon,Legal,Legal,https://images.pokemontcg.io/base1/87.png,https://images.pokemontcg.io/base1/87_hires.png
base1-88,Professor Oak,Trainer,,"Discard your hand, then draw 7 cards.",88,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base1/88.png,https://images.pokemontcg.io/base1/88_hires.png
base1-89,Revive,Trainer,,Put 1 Basic Pokémon card from your discard pile onto your Bench. Put damage counters on that Pokémon equal to half its HP (rounded down to the nearest 10). (You can't play Revive if your Bench is full.),89,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/89.png,https://images.pokemontcg.io/base1/89_hires.png
base1-90,Super Potion,Trainer,,Discard 1 Energy card attached to your own Pokémon in order to remove up to 4 damage counters from that Pokémon.,90,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base1/90.png,https://images.pokemontcg.io/base1/90_hires.png
base1-91,Bill,Trainer,,Draw 2 cards.,91,Ken Sugimori,Common,Legal,,https://images.pokemontcg.io/base1/91.png,https://images.pokemontcg.io/base1/91_hires.png
base1-92,Energy Removal,Trainer,,Choose 1 Energy card attached to 1 of your opponent's Pokémon and discard it.,92,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/92.png,https://images.pokemontcg.io/base1/92_hires.png
base1-93,Gust of Wind,Trainer,,Choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon.,93,Keiji Kinebuchi,Common,Legal,,https://images.pokemontcg.io/base1/93.png,https://images.pokemontcg.io/base1/93_hires.png
base1-94,Potion,Trainer,,Remove up to 2 damage counters from 1 of your Pokémon.,94,Keiji Kinebuchi,Common,Legal,Legal,https://images.pokemontcg.io/base1/94.png,https://images.pokemontcg.io/base1/94_hires.png
base1-95,Switch,Trainer,,Switch 1 of your own Benched Pokémon with your Active Pokémon.,95,Keiji Kinebuchi,Common,Legal,Legal,https://images.pokemontcg.io/base1/95.png,https://images.pokemontcg.io/base1/95_hires.png
base1-96,Double Colorless Energy,Energy,Special,"Provides ColorlessColorless energy.
Doesn't count as a basic Energy card.",96,Keiji Kinebuchi,Uncommon,Legal,Legal,https://images.pokemontcg.io/base1/96.png,https://images.pokemontcg.io/base1/96_hires.png
base1-97,Fighting Energy,Energy,Basic,,97,Keiji Kinebuchi,,Legal,Legal,https://images.pokemontcg.io/base1/97.png,https://images.pokemontcg.io/base1/97_hires.png
base1-98,Fire Energy,Energy,Basic,,98,Keiji Kinebuchi,,Legal,Legal,https://images.pokemontcg.io/base1/98.png,https://images.pokemontcg.io/base1/98_hires.png
base1-99,Grass Energy,Energy,Basic,,99,Keiji Kinebuchi,,Legal,Legal,https://images.pokemontcg.io/base1/99.png,https://images.pokemontcg.io/base1/99_hires.png
base1-100,Lightning Energy,Energy,Basic,,100,Keiji Kinebuchi,,Legal,Legal,https://images.pokemontcg.io/base1/100.png,https://images.pokemontcg.io/base1/100_hires.png
base1-101,Psychic Energy,Energy,Basic,,101,Keiji Kinebuchi,,Legal,Legal,https://images.pokemontcg.io/base1/101.png,https://images.pokemontcg.io/base1/101_hires.png
base1-102,Water Energy,Energy,Basic,,102,Keiji Kinebuchi,,Legal,Legal,https://images.pokemontcg.io/base1/102.png,https://images.pokemontcg.io/base1/102_hires.png
base2-1,Clefable,Pokémon,Stage 1,,1,Mitsuhiro Arita,Rare Holo,Legal,,https://images.pokemontcg.io/base2/1.png,https://images.pokemontcg.io/base2/1_hires.png
base2-2,Electrode,Pokémon,Stage 1,,2,Mitsuhiro Arita,Rare Holo,Legal,,https://images.pokemontcg.io/base2/2.png,https://images.pokemontcg.io/base2/2_hires.png
base2-3,Flareon,Pokémon,Stage 1,,3,Kagemaru Himeno,Rare Holo,Legal,,https://images.pokemontcg.io/base2/3.png,https://images.pokemontcg.io/base2/3_hires.png
base2-4,Jolteon,Pokémon,Stage 1,,4,Kagemaru Himeno,Rare Holo,Legal,,https://images.pokemontcg.io/base2/4.png,https://images.pokemontcg.io/base2/4_hires.png
base2-5,Kangaskhan,Pokémon,Basic,,5,Mitsuhiro Arita,Rare Holo,Legal,,https://images.pokemontcg.io/base2/5.png,https://images.pokemontcg.io/base2/5_hires.png
base2-6,Mr. Mime,Pokémon,Basic,,6,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base2/6.png,https://images.pokemontcg.io/base2/6_hires.png
base2-7,Nidoqueen,Pokémon,Stage 2,,7,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base2/7.png,https://images.pokemontcg.io/base2/7_hires.png
base2-8,Pidgeot,Pokémon,Stage 2,,8,Kagemaru Himeno,Rare Holo,Legal,,https://images.pokemontcg.io/base2/8.png,https://images.pokemontcg.io/base2/8_hires.png
base2-9,Pinsir,Pokémon,Basic,,9,Kagemaru Himeno,Rare Holo,Legal,,https://images.pokemontcg.io/base2/9.png,https://images.pokemontcg.io/base2/9_hires.png
base2-10,Scyther,Pokémon,Basic,,10,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base2/10.png,https://images.pokemontcg.io/base2/10_hires.png
base2-11,Snorlax,Pokémon,Basic,,11,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base2/11.png,https://images.pokemontcg.io/base2/11_hires.png
base2-12,Vaporeon,Pokémon,Stage 1,,12,Kagemaru Himeno,Rare Holo,Legal,,https://images.pokemontcg.io/base2/12.png,https://images.pokemontcg.io/base2/12_hires.png
base2-13,Venomoth,Pokémon,Stage 1,,13,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base2/13.png,https://images.pokemontcg.io/base2/13_hires.png
base2-14,Victreebel,Pokémon,Stage 2,,14,Ken Sugimori,Rare Holo,Legal,,https://images.pokemontcg.io/base2/14.png,https://images.pokemontcg.io/base2/14_hires.png
base2-15,Vileplume,Pokémon,Stage 2,,15,Keiji Kinebuchi,Rare Holo,Legal,,https://images.pokemontcg.io/base2/15.png,https://images.pokemontcg.io/base2/15_hires.png
base2-16,Wigglytuff,Pokémon,Stage 1,,16,Mitsuhiro Arita,Rare Holo,Legal,,https://images.pokemontcg.io/base2/16.png,https://images.pokemontcg.io/base2/16_hires.png
base2-17,Clefable,Pokémon,Stage 1,,17,Mitsuhiro Arita,Rare,Legal,,https://images.pokemontcg.io/base2/17.png,https://images.pokemontcg.io/base2/17_hires.png
base2-18,Electrode,Pokémon,Stage 1,,18,Mitsuhiro Arita,Rare,Legal,,https://images.pokemontcg.io/base2/18.png,https://images.pokemontcg.io/base2/18_hires.png
base2-19,Flareon,Pokémon,Stage 1,,19,Kagemaru Himeno,Rare,Legal,,https://images.pokemontcg.io/base2/19.png,https://images.pokemontcg.io/base2/19_hires.png
base2-20,Jolteon,Pokémon,Stage 1,,20,Kagemaru Himeno,Rare,Legal,,https://images.pokemontcg.io/base2/20.png,https://images.pokemontcg.io/base2/20_hires.png
base2-21,Kangaskhan,Pokémon,Basic,,21,Mitsuhiro Arita,Rare,Legal,,https://images.pokemontcg.io/base2/21.png,https://images.pokemontcg.io/base2/21_hires.png
base2-22,Mr. Mime,Pokémon,Basic,,22,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base2/22.png,https://images.pokemontcg.io/base2/22_hires.png
base2-23,Nidoqueen,Pokémon,Stage 2,,23,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base2/23.png,https://images.pokemontcg.io/base2/23_hires.png
base2-24,Pidgeot,Pokémon,Stage 2,,24,Kagemaru Himeno,Rare,Legal,,https://images.pokemontcg.io/base2/24.png,https://images.pokemontcg.io/base2/24_hires.png
base2-25,Pinsir,Pokémon,Basic,,25,Kagemaru Himeno,Rare,Legal,,https://images.pokemontcg.io/base2/25.png,https://images.pokemontcg.io/base2/25_hires.png
base2-26,Scyther,Pokémon,Basic,,26,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base2/26.png,https://images.pokemontcg.io/base2/26_hires.png
base2-27,Snorlax,Pokémon,Basic,,27,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base2/27.png,https://images.pokemontcg.io/base2/27_hires.png
base2-28,Vaporeon,Pokémon,Stage 1,,28,Kagemaru Himeno,Rare,Legal,,https://images.pokemontcg.io/base2/28.png,https://images.pokemontcg.io/base2/28_hires.png
base2-29,Venomoth,Pokémon,Stage 1,,29,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base2/29.png,https://images.pokemontcg.io/base2/29_hires.png
base2-30,Victreebel,Pokémon,Stage 2,,30,Ken Sugimori,Rare,Legal,,https://images.pokemontcg.io/base2/30.png,https://images.pokemontcg.io/base2/30_hires.png
base2-31,Vileplume,Pokémon,Stage 2,,31,Keiji Kinebuchi,Rare,Legal,,https://images.pokemontcg.io/base2/31.png,https://images.pokemontcg.io/base2/31_hires.png
base2-32,Wigglytuff,Pokémon,Stage 1,,32,Mitsuhiro Arita,Rare,Legal,,https://images.pokemontcg.io/base2/32.png,https://images.pokemontcg.io/base2/32_hires.png
base2-33,Butterfree,Pokémon,Stage 2,,33,Kagemaru Himeno,Uncommon,Legal,,https://images.pokemontcg.io/base2/33.png,https://images.pokemontcg.io/base2/33_hires.png
base2-34,Dodrio,Pokémon,Stage 1,,34,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base2/34.png,https://images.pokemontcg.io/base2/34_hires.png
base2-35,Exeggutor,Pokémon,Stage 1,,35,Kagemaru Himeno,Uncommon,Legal,,https://images.pokemontcg.io/base2/35.png,https://images.pokemontcg.io/base2/35_hires.png
base2-36,Fearow,Pokémon,Stage 1,,36,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base2/36.png,https://images.pokemontcg.io/base2/36_hires.png
base2-37,Gloom,Pokémon,Stage 1,,37,Keiji Kinebuchi,Uncommon,Legal,,https://images.pokemontcg.io/base2/37.png,https://images.pokemontcg.io/base2/37_hires.png
base2-38,Lickitung,Pokémon,Basic,,38,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base2/38.png,https://images.pokemontcg.io/base2/38_hires.png
base2-39,Marowak,Pokémon,Stage 1,,39,Mitsuhiro Arita,Uncommon,Legal,,https://images.pokemontcg.io/base2/39.png,https://images.pokemontcg.io/base2/39_hires.png
base2-40,Nidorina,Pokémon,Stage 1,,40,Ken Sugimori,Uncommon,Legal,,https://images.pokemontcg.io/base2/40.png,https://images.pokemontcg.io/base2/40_hires.png
